Type No	40AE mic, PRM426 preamp
Mic. Serial No	57432
PreAmp Serial No	0350
Microphone Manufacturer	G.R.A.S. / LD
Calibration Customer ID	
Calibration ID	ID001
Date & Time	9/28/2020 4:14:53 PM
Data file name	40AE mic, PRM426 preamp0350.txt
Operator	Mark
Barometric Pressure	867.00
Temperatur	23.10
Humidity	3.00

Pistonphone Sound Level [dB]	114																																																				
Pistonphone Frequency [Hz]	250.00
Sens. mV/Pa	46.48
Ideal Sens. mV/Pa	42.00-58.00
Sens. OK?	OK
Sens. dB ref. 1V/Pa	-26.65
Load Cond mV/Pa	46.48
Insert mV	0.00
Insert Ref mV	0.00

Write TEDS OK?	FAIL

Normalizing Frequency [Hz]	250.00
Magnitude Response OK?	OK
FREQ	Mag. Press.	Mag. Corr.	Ideal Mag.	Limit+	Limit-	OK?	
    1	-20.06	-20.06	0.00	30.00	-30.00	OK	
    2	-12.22	-12.22	0.00	30.00	-30.00	OK	
    3	-8.11	-8.11	0.00	30.00	-30.00	OK	
    4	-5.87	-5.87	0.00	30.00	-30.00	OK	
    5	-4.61	-4.61	0.00	30.00	-30.00	OK	
    6	-4.00	-4.00	0.00	30.00	-30.00	OK	
    7	-3.26	-3.26	0.00	30.00	-30.00	OK	
    8	-1.60	-1.60	0.00	30.00	-30.00	OK	
    9	-2.76	-2.76	0.00	30.00	-30.00	OK	
   10	-0.95	-0.95	0.00	30.00	-30.00	OK	
   11	-1.42	-1.42	0.00	30.00	-30.00	OK	
   12	-1.16	-1.16	0.00	30.00	-30.00	OK	
   14	-0.85	-0.85	0.00	30.00	-30.00	OK	
   16	-0.54	-0.54	0.00	30.00	-30.00	OK	
   18	-0.54	-0.54	0.00	30.00	-30.00	OK	
   20	-0.34	-0.34	0.00	30.00	-30.00	OK	
   22	-0.29	-0.29	0.00	2.00	-2.00	OK	
   25	-0.24	-0.24	0.00	1.00	-1.00	OK	
   28	-0.16	-0.16	0.00	1.00	-1.00	OK	
   31	-0.15	-0.15	0.00	1.00	-1.00	OK	
   35	-0.11	-0.11	0.00	1.00	-1.00	OK	
   40	-0.02	-0.02	0.00	1.00	-1.00	OK	
   45	-0.07	-0.07	0.00	1.00	-1.00	OK	
   50	0.02	0.02	0.00	1.00	-1.00	OK	
   56	-0.03	-0.03	0.00	1.00	-1.00	OK	
   63	0.00	0.00	0.00	1.00	-1.00	OK	
   71	0.00	0.00	0.00	1.00	-1.00	OK	
   80	0.02	0.02	0.00	1.00	-1.00	OK	
   89	0.01	0.01	0.00	1.00	-1.00	OK	
  100	-0.00	-0.00	0.00	1.00	-1.00	OK	
  112	-0.00	-0.00	0.00	1.00	-1.00	OK	
  125	-0.01	-0.01	0.00	1.00	-1.00	OK	
  140	0.02	0.02	0.00	1.00	-1.00	OK	
  160	-0.03	-0.03	0.00	1.00	-1.00	OK	
  180	0.08	0.08	0.00	1.00	-1.00	OK	
  200	0.03	0.03	0.00	1.00	-1.00	OK	
  224	-0.01	-0.01	0.00	1.00	-1.00	OK	
  250	0.00	0.00	0.00	1.00	-1.00	OK	
  280	-0.01	-0.01	0.00	1.00	-1.00	OK	
  315	-0.01	-0.01	0.00	1.00	-1.00	OK	
  355	-0.02	-0.02	0.00	1.00	-1.00	OK	
  400	-0.02	-0.02	0.00	1.00	-1.00	OK	
  450	-0.03	-0.03	0.00	1.00	-1.00	OK	
  500	-0.03	-0.03	0.00	1.00	-1.00	OK	
  560	-0.04	-0.02	-0.02	1.00	-1.00	OK	
  630	-0.05	-0.03	-0.03	1.00	-1.00	OK	
  710	-0.07	-0.02	-0.05	1.00	-1.00	OK	
  800	-0.08	-0.00	-0.08	1.00	-1.00	OK	
  900	-0.10	0.02	-0.12	1.00	-1.00	OK	
 1000	-0.12	0.06	-0.18	1.00	-1.00	OK	
 1120	-0.16	0.09	-0.25	1.00	-1.00	OK	
 1250	-0.19	0.08	-0.28	1.00	-1.00	OK	
 1400	-0.24	0.08	-0.32	1.00	-1.00	OK	
 1600	-0.31	0.06	-0.37	1.00	-1.00	OK	
 1800	-0.38	0.05	-0.43	1.00	-1.00	OK	
 2000	-0.47	-0.01	-0.46	1.00	-1.00	OK	
 2240	-0.57	-0.05	-0.52	1.00	-1.00	OK	
 2500	-0.70	-0.12	-0.58	1.00	-1.00	OK	
 2800	-0.84	-0.14	-0.70	1.00	-1.00	OK	
 3150	-1.04	-0.23	-0.82	1.00	-1.00	OK	
 3550	-1.27	-0.33	-0.94	1.00	-1.00	OK	
 4000	-1.53	-0.42	-1.10	1.00	-1.00	OK	
 4500	-1.82	-0.48	-1.34	1.00	-1.00	OK	
 5000	-2.11	-0.53	-1.58	1.00	-1.00	OK	
 5600	-2.45	-0.56	-1.89	1.00	-1.00	OK	
 6300	-2.84	-0.58	-2.26	1.00	-1.00	OK	
 7100	-3.26	-0.55	-2.72	1.00	-1.00	OK	
 8000	-3.75	-0.49	-3.27	1.00	-1.00	OK	
 9000	-4.37	-0.38	-3.99	1.00	-1.00	OK	
10000	-4.90	-0.27	-4.63	1.00	-1.00	OK	
11200	-5.59	-0.06	-5.53	2.00	-2.00	OK	
12500	-6.16	0.26	-6.42	2.00	-2.00	OK	
14000	-6.66	0.56	-7.22	2.00	-2.00	OK	
16000	-7.30	0.72	-8.02	2.00	-2.00	OK	
18000	-8.11	0.48	-8.59	2.00	-2.00	OK	
20000	-9.46	-0.42	-9.05	2.00	-2.00	OK	
22400	-11.48	-11.48	0.00	30.00	-30.00	OK	
25000	-14.30	-14.30	0.00	30.00	-30.00	OK	
28000	-20.50	-20.50	0.00	30.00	-30.00	OK	
31500	-15.67	-15.67	0.00	30.00	-30.00	OK	
35500	-17.87	-17.87	0.00	30.00	-30.00	OK	
40000	-20.18	-20.18	0.00	30.00	-30.00	OK	
45000	-22.52	-22.52	0.00	30.00	-30.00	OK	
50000	-25.33	-25.33	0.00	30.00	-30.00	OK	
56000	-26.73	-26.73	0.00	50.00	-50.00	OK	
63000	-27.45	-27.45	0.00	50.00	-50.00	OK	
71000	-33.82	-33.82	0.00	50.00	-50.00	OK	
80000	-24.94	-24.94	0.00	50.00	-50.00	OK	
85000	-37.42	-37.42	0.00	50.00	-50.00	OK	
92000	-37.85	-37.85	0.00	50.00	-50.00	OK	

Additional rem				
Additional rem				
Additional rem				
