Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
0,1423,,,,0.11214942845069223,8.164012962563584,0.12364120771281918,0,0,1.0094084224744724,0,,
0.05,1423,,,,0.11214942845069223,8.168185095064231,0.1014018272060119,0,0,0.8282688935964251,0,,
0.1,1423,,,,0.11156027719894727,8.167769636223058,0.10134095848390288,0,0,0.8277296036105635,0,,
0.15,1423,,,,0.11156027719894727,8.166261147456309,0.10902040020898648,0,0,0.890289058506784,0,,
0.2,1423,,,,0.11156027719894727,8.162885178263995,0.12721728285420286,0,0,1.0384600726295907,0,,
0.25,1423,,,,0.11089644195781649,8.156942908730969,0.15523650107578763,0,0,1.2662552766263533,0,,
0.3,1423,,,,0.11089644195781649,8.151223872095386,0.1825113341881027,0,0,1.4876907441620415,0,,
0.35000000000000003,1423,,,,0.11089644195781649,8.145663630455243,0.20805402996827926,0,0,1.6947381450822574,0,,
0.4,1423,,,,0.11056788985399124,8.139106353459109,0.237356795676841,0,0,1.9318722037300722,0,,
0.45,1423,,,,0.11056788985399124,8.129257060542832,0.2822434742472084,0,0,2.294429755816258,0,,
0.5,1423,,,,0.11056788985399124,8.122333243684128,0.3128180325319514,0,0,2.540812304858132,0,,
0.55,1423,,,,0.11061906151371889,8.114796542141894,0.3471464556311835,3,0,2.8170228577727423,0.03926807381363565,,
0.6,1423,,,,0.11061906151371889,8.102573227345971,0.40965819041708357,761,0,3.319285486036459,0.03332616672445627,,
0.65,1423,,,,0.11160833180225968,7.973855110074764,0.99420569925954,3049,0,7.927652195506138,0.01407835876875702,,
0.7000000000000001,1423,,,,0.11160833180225968,7.915075916685722,1.2588982842254623,4363,0,9.964275491029934,0.011200847658490777,,
0.75,1423,,,,0.11160833180225968,7.885677724807094,1.3855804060028978,4946,0,10.92624054354622,0.010214705722196748,,
0.8,1423,,,,0.11160833180225968,7.870671972773387,1.4601629294613585,5226,0,11.492463444594199,0.009711436746379887,,
0.85,1423,,,,0.11209260241869927,7.862872225519649,1.4985426936609478,5394,0,11.782849724742066,0.009513199695937991,,
0.9,1423,,,,0.11209260241869927,7.856817002476745,1.51992829986299,5482,0,11.941798508909113,0.00938657626278598,,
0.9500000000000001,1423,,,,0.11209260241869927,7.85574809694381,1.526451140307389,5516,0,11.99141564054748,0.009347737229595485,,
1,1423,,,,0.11228633680706682,7.854608768639902,1.5392852337276306,5527,0,12.090483294274968,0.009287166945612187,,
1.05,1423,,,,0.11228633680706682,7.854595658747156,1.542472564228281,5544,0,12.115498306724051,0.009267991622329589,,
1.1,1423,,,,0.11212720823070517,7.854839514699078,1.5407075568305209,5552,0,12.102010597987851,0.009265171875601238,,
1.1500000000000001,1423,,,,0.11212720823070517,7.854977420846217,1.5371607357427006,5553,0,12.074362871470273,0.009286387151378667,,
1.2,1423,,,,0.11212720823070517,7.8548150273717745,1.5408456081576303,5556,0,12.103057237816355,0.009264370648463964,,
1.25,1423,,,,0.11212720823070517,7.854540939759419,1.540929754765447,5556,0,12.103295844098644,0.009264188009200522,,
1.3,1423,,,,0.11247370308141454,7.854268884141483,1.5404961590090154,5546,0,12.099471047843979,0.009295753726478513,,
1.35,1423,,,,0.11247370308141454,7.854868968381265,1.5376718227475499,5546,0,12.078210684053985,0.009312116341032673,,
1.4000000000000001,1423,,,,0.11247370308141454,7.854100641055326,1.540869278512281,5469,0,12.102142388145765,0.009293701848325984,,
1.45,1423,,,,0.11213913336439722,7.854521731858091,1.5441846796525107,5541,0,12.12883212433297,0.009245666212118041,,
1.5,1423,,,,0.11213913336439722,7.853973842064836,1.5469905022228612,5543,0,12.150022938381095,0.00922954087684537,,
1.55,1423,,,,0.11213913336439722,7.854425086166539,1.5466811885243503,5553,0,12.148291527447535,0.009230856298684713,,
1.6,1423,,,,0.11177772208406278,7.854148005592177,1.5473947391286413,5556,0,12.153467304191045,0.009197187871276616,,
1.6500000000000001,1423,,,,0.11177772208406278,7.853918607448525,1.5496621851760213,5570,0,12.170920671413295,0.009183998902121106,,
1.7,1423,,,,0.11177772208406278,7.854090593620146,1.549103713628167,5569,0,12.166800905749023,0.00918710866972812,,
1.75,1423,,,,0.11051859672711976,7.853769700154868,1.551737111281836,5552,0,12.186985907191126,0.0090685750823677,,
1.8,1423,,,,0.11051859672711976,7.853871408480396,1.5511646236123575,5548,0,12.18264748723535,0.00907180453533751,,
1.85,1423,,,,0.11005603395175982,7.854671773382622,1.549339342972436,5552,0,12.16955200463677,0.009043556731572939,,
1.9000000000000001,1423,,,,0.11005603395175982,7.854416666210451,1.5507329189210042,5553,0,12.180102483214315,0.009035723147931688,,
1.95,1423,,,,0.11005603395175982,7.854129278777135,1.5517017152008794,5549,0,12.187265873287926,0.009030412161022995,,
2,1423,,,,0.11005603395175982,7.853318094157755,1.5571236734290061,5540,0,12.228587519381405,0.008999897476084557,,
2.05,1423,,,,0.11029444553952208,7.853669658473436,1.5577074964568565,5547,0,12.23372010169983,0.00901560969375105,,
2.1,1423,,,,0.11029444553952208,7.8542993274050765,1.5544652190298625,5548,0,12.209235124300834,0.009033690023709665,,
2.15,1423,,,,0.11090002826655967,7.854274542055972,1.5554851578454894,5550,0,12.217207475811742,0.009077363095136534,,
2.2,1423,,,,0.11090002826655967,7.854506282619598,1.5509765682483312,5533,0,12.1821551995023,0.009103481810106185,,
2.25,1423,,,,0.11090002826655967,7.854652065267652,1.5472814200475353,5544,0,12.153357201526639,0.009125052973233521,,
2.3000000000000003,1423,,,,0.11090002826655967,7.855346431845193,1.5465323016179466,5555,0,12.148546997247871,0.009128666028265186,,
2.35,1423,,,,0.1111911484683195,7.85503221830282,1.5453987312994044,5547,0,12.139156824481123,0.009159709366640649,,
2.4,1423,,,,0.1111911484683195,7.853974090298233,1.546185113747815,5544,0,12.143697822180165,0.009156284197489796,,
2.45,1423,,,,0.11129627836387876,7.853192367071355,1.551603554825067,5549,0,12.185041193472998,0.009133845064347865,,
2.5,1423,,,,0.11129627836387876,7.853501702447714,1.5506472007437062,5531,0,12.178010430936478,0.009139118330950565,,
2.5500000000000003,1423,,,,0.11129627836387876,7.852853075344613,1.5529404334790216,5542,0,12.19501305887273,0.009126376316825908,,
2.6,1423,,,,0.11129627836387876,7.852815114384266,1.5546735878900158,5545,0,12.208564248916732,0.009116246275540066,,
2.65,1423,,,,0.11162086245641425,7.852571879305344,1.555491929730609,5529,0,12.214612185888985,0.009138305887874608,,
2.7,1423,,,,0.11162086245641425,7.852544910813131,1.5528618825287468,5530,0,12.193917672846808,0.009153814668190645,,
2.75,1423,,,,0.11162086245641425,7.852877326378348,1.553758000775979,5527,0,12.201470974972636,0.00914814801308533,,
2.8000000000000003,1423,,,,0.11174977606372602,7.853607683062981,1.5520703525066812,5529,0,12.189351645100741,0.00916781952948593,,
2.85,1423,,,,0.11174977606372602,7.853916063718595,1.554318964366573,5544,0,12.207490682381078,0.009154197121363615,,
2.9,1423,,,,0.11174977606372602,7.853857384921266,1.5536141742188816,5534,0,12.201864155507318,0.009158418307196749,,
2.95,1423,,,,0.11179677622194215,7.853483533398787,1.5586760451644956,5525,0,12.24103665460251,0.009132950041441764,,
3,1423,,,,0.11179677622194215,7.853159714935236,1.5597881936134226,5529,0,12.249265805916533,0.00912681445511151,,
3.0500000000000003,1423,,,,0.11179677622194215,7.85268862016582,1.5577808631068386,5525,0,12.23276805643116,0.009139123353456128,,
3.1,1423,,,,0.10994256129973193,7.852980377316871,1.557102109360678,5536,0,12.227892310288112,0.008991129338555769,,
3.15,1423,,,,0.10994256129973193,7.8521659946129265,1.5549963112242762,5555,0,12.2100891567438,0.009004239026298112,,
3.2,1423,,,,0.10994256129973193,7.8527787207178426,1.5489324327125502,5554,0,12.163423647434836,0.009038784184987086,,
3.25,1423,,,,0.10918733608740623,7.853642687930531,1.5465832842068876,5557,0,12.14631250128701,0.008989340268977672,,
