Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1125,,,,-0.01171875,0.01171875,-1.05078125,-0.001197134046385052,0.004676680246242712,16.84753207403172,0.06705504667617665,0,0,1.12971204960258,0,0,0,0,0.0859375,,
0.05,1125,,,,0,0,-1.037109375,-0.0011827162391899293,0.004676680246242712,16.847242617621838,0.06453459961074684,0,0,1.0872300568733357,0,0,0,0,0.083984375,,
0.1,1125,,,,-0.01171875,0.01171875,-1.05078125,-0.0011827162391899293,0.0047104990714910725,16.847380780640645,0.0633896075190068,0,0,1.0679488554080687,0,0,0,0,0.083984375,,
0.15,1125,,,,0,0,-1.03515625,-0.0011827162391899293,0.0047104990714910725,16.847282852127798,0.06239367408969605,0,0,1.0511638755725867,0,0,0,0,0.083984375,,
0.2,1125,,,,-0.037109375,-0.00390625,-0.98046875,-0.0012375369550409682,0.0047104990714910725,16.721194763248302,0.14701644127032804,0,0,2.458290547880811,0,0,0,0,0.0859375,,
0.25,1125,,,,-0.0234375,0.025390625,-1.00390625,-0.0012375369550409682,0.005154554405599843,16.526618781118984,0.2734263405509957,0,0,4.51881289500272,0.00002418144833024067,0.0005351283377318527,0,0.00114068772603977,0.087890625,,
0.3,1125,,,,-0.0625,0.013671875,-0.998046875,-0.0012375369550409682,0.005154554405599843,16.269846261808993,0.4425115872230882,493,0,7.199595493188726,0.06389063510182097,0.8874197885459755,0.08067777691339512,0.0007159505572884447,0.09765625,,
0.35000000000000003,1125,,,,-0.1484375,0.13671875,-1,-0.0015846219828937365,0.005154554405599843,15.821491004585358,0.7213479213945625,3728,0,11.412799649520416,0.6185982338824906,5.420214608853534,0.008332636796016146,0.0004516467969203723,0.12109375,,
0.4,1125,,,,-0.125,-0.130859375,-1.06640625,-0.0015846219828937365,0.005339732044847029,15.171295953842622,1.1008482122005547,4830,0,16.70129402755316,0.8014721883645217,4.798862812919067,0.006662404662778439,0.0003197196598082605,0.13671875,,
0.45,1125,,,,0.0234375,-0.041015625,-1.01171875,-0.0015846219828937365,0.005339732044847029,14.475243512570906,1.5048572805230718,2832,0,21.78317558723669,0.4698760291820492,2.157059365840862,0.011364129500588332,0.0002451310197387249,0.15625,,
0.5,1125,,,,-0.359375,0.474609375,-0.9140625,-0.0033874640319048327,0.005339732044847029,13.979276817214839,1.7919017502793941,3450,0,25.049490596407427,1.2239980470540042,4.886319114327812,0.004362533141044655,0.00021316729073975053,0.193359375,,
0.55,1125,,,,-0.162109375,0.275390625,-1.1015625,-0.0033874640319048327,-0.005396336477689487,13.644173853146476,1.9863337586013052,3938,0,27.101883132730094,1.3967829946857975,5.153822661861258,0.0038634036197608334,0.00019911297127440198,0.29296875,,
0.6,1125,,,,0.53125,-0.8125,-0.916015625,-0.0033874640319048327,-0.005396336477689487,13.433934701859116,2.1078386262210715,4288,0,28.3165664667103,1.5211162292912694,5.371824409147676,0.003547616134635412,0.00019057170946320637,0.400390625,,
0.65,1125,,,,0.953125,0.072265625,-1.13671875,-0.004159543664738945,-0.005396336477689487,13.305207816141971,2.1794327173349846,4555,0,28.99780522544097,1.9842813338505298,6.8428673081424725,0.002719542025433364,0.0001860946521895753,0.521484375,,
0.7000000000000001,1125,,,,0.265625,0.1328125,-1.095703125,-0.004159543664738945,-0.005396336477689487,13.240467823561975,2.219838220858752,4746,0,29.391696536793365,2.0674731953542262,7.03420842946614,0.0026101119423533404,0.00018360071426752107,0.62890625,,
0.75,1125,,,,0.048828125,-0.103515625,-0.966796875,-0.004159543664738945,-0.0684108069798929,13.188741529511052,2.253458362398746,4908,0,29.720279889192305,2.1377720612387763,7.192974188699249,0.03200098280835929,0.002301822433535368,0.73046875,,
0.8,1125,,,,-0.2734375,-0.234375,-1.048828125,-0.002814248009352196,-0.0684108069798929,13.15297508449249,2.2689909854646633,5024,0,29.84398189875478,1.4805879642521835,4.961093895831508,0.0462051621596464,0.0022922814794612673,0.841796875,,
0.85,1125,,,,-0.75,0.068359375,-0.94140625,-0.002814248009352196,-0.0684108069798929,13.141853532613355,2.272142238260528,5100,0,29.860160500484135,1.5030121732866135,5.033503330507029,0.04551580366132367,0.002291039493199768,0.93359375,,
0.9,1125,,,,-0.3125,0.06640625,-1.265625,-0.002814248009352196,-0.11459610462510886,13.147431339433082,2.268609918075841,5167,0,29.826393133859025,1.522894795528657,5.10586308137896,0.07524886483398088,0.0038421040087149847,1.080078125,,
