Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1135,,,,0,0,-1.029296875,-0.0011336797034828634,0.005175252809207136,16.846127013284836,0.06815935940206555,0,0,1.1482212256313262,0,0,0,0,0.083984375,,
0.05,1135,,,,-0.01171875,0.01171875,-1.01171875,-0.001210271096557081,0.005175252809207136,16.845629371656887,0.06645898863838152,0,0,1.1195434910173312,0,0,0,0,0.083984375,,
0.1,1135,,,,0,0,-1.025390625,-0.001210271096557081,0.005175252809207136,16.845527882927648,0.0706138548973053,0,0,1.1895276615935635,0,0,0,0,0.08203125,,
0.15,1135,,,,0,0,-1.0390625,-0.001210271096557081,0.00482687859746697,16.845469054074417,0.0695488331521382,0,0,1.1715827166113288,0,0,0,0,0.08203125,,
0.2,1135,,,,-0.01171875,0.01171875,-0.984375,-0.001294288494784326,0.00482687859746697,16.630520310940888,0.20216218925874413,0,0,3.36206239457182,0,0,0,0,0.083984375,,
0.25,1135,,,,-0.037109375,0.02734375,-1,-0.001294288494784326,0.00482687859746697,16.41258351604897,0.3357855595739152,289,0,5.511108539990119,0.03919784822992704,0.7112516101887065,0,0.000875845315410105,0.091796875,,
0.3,1135,,,,-0.1484375,0.212890625,-1.005859375,-0.001294288494784326,0.0046810185195799185,16.231839184696533,0.44600904679372183,1769,0,7.239547122475483,0.23974634475146503,3.311620750518527,0.01952487961571441,0.0006465899648677604,0.09765625,,
0.35000000000000003,1135,,,,-0.01171875,-0.09765625,-1.04296875,-0.0013621695951573998,0.0046810185195799185,15.319850517858955,0.9983619898387457,5375,0,15.294756447041804,0.7667004525567069,5.012832046142169,0.006105407273427558,0.00030605381234987143,0.130859375,,
0.4,1135,,,,-0.2109375,-0.001953125,-1.142578125,-0.0013621695951573998,0.0046810185195799185,14.533244156059276,1.4553542607829224,2770,0,21.151018805519374,0.39514274677202826,1.868197226834839,0.011846398694698963,0.0002213140918941646,0.15234375,,
0.45,1135,,,,-0.048828125,0.04296875,-1.0078125,-0.0013621695951573998,0.0046034613508819985,14.212277550588025,1.6414948574500081,3113,0,23.329380511942443,0.4440433198898921,1.9033652422214289,0.010367144701160019,0.00019732462885268043,0.171875,,
0.5,1135,,,,-0.2109375,-0.05078125,-1.044921875,-0.0035661614567055245,0.0046034613508819985,13.453302875517997,2.0800741726013507,3962,0,27.98386784754847,1.4796026192712737,5.287341361572698,0.003111282239517305,0.0001645041127252638,0.26953125,,
0.55,1135,,,,-0.140625,0.857421875,-1.138671875,-0.0035661614567055245,0.0046034613508819985,13.165992518753395,2.2387150142673575,4356,0,29.47490512946493,1.6266413447571293,5.5187330972306965,0.0028300407866304004,0.00015618239755689985,0.375,,
0.6,1135,,,,-0.390625,-0.169921875,-0.84375,-0.0035661614567055245,-0.03812349619354628,12.992734000115885,2.341334498289459,4645,0,30.42033634156972,1.7345719191057067,5.702014269761362,0.021978619493160947,0.0012532240197965895,0.494140625,,
0.65,1135,,,,0.36328125,0.22265625,-0.9609375,-0.004394989449153099,-0.03812349619354628,12.9442138698347,2.3703255814904747,4777,0,30.682001267953,2.198498918896574,7.165435199929024,0.017340693627759644,0.0012425361651153388,0.548828125,,
0.7000000000000001,1135,,,,0.162109375,0.216796875,-0.939453125,-0.004394989449153099,-0.08589673124454916,12.82811831413433,2.441576309596562,5035,0,31.320829772492168,2.3171809465288944,7.39821059454811,0.03706949661105288,0.002742479425624567,0.732421875,,
0.75,1135,,,,-0.349609375,-0.0234375,-1.0234375,-0.004394989449153099,-0.08589673124454916,12.790027478011773,2.4635354977198816,5157,0,31.508686708894693,2.3735253794553595,7.53292386123262,0.036189514545767965,0.0027261285764824048,0.8515625,,
0.8,1135,,,,0.228515625,-0.05078125,-1.083984375,-0.0029676728759463027,-0.08589673124454916,12.78267214247608,2.4667332190660316,5209,0,31.53144200227571,1.6188544576294739,5.134095857438543,0.05306019379304162,0.0027241612114774125,0.921875,,
0.85,1135,,,,0.287109375,-0.1171875,-0.826171875,-0.0029676728759463027,-0.08589673124454916,12.78990224334111,2.467597064562993,5315,0,31.560325231716167,1.65180384937766,5.233798565921303,0.05200177447032343,0.002721668126481418,1.171875,,
0.9,1135,,,,-0.599609375,-0.0546875,-1.1953125,-0.0029676728759463027,-0.13630725743348202,12.794795249499284,2.4666909010506513,5366,0,31.56080502274598,1.6676782165846056,5.28401672702171,0.0817347471939991,0.00431887771351982,1.375,,
0.9500000000000001,1135,,,,0.59375,-0.015625,-0.908203125,-0.0030409095917120514,-0.13630725743348202,12.801023302036054,2.4646425793043796,5390,0,31.549947088865604,1.7165428956701487,5.440715608286835,0.07940801117018799,0.004320364057966571,1.53125,,
1,1135,,,,-0.3359375,0.1875,-1.0546875,-0.0030409095917120514,-0.16328761189840266,12.819870259994751,2.4581893027355375,5440,0,31.51366793557655,1.7324293367696908,5.497390339681497,0.09425354814348201,0.00518148545044683,1.78125,,
1.05,1135.008,,,,-0.099609375,-0.013671875,-0.904296875,-0.0030409095917120514,-0.16328761189840266,12.820151844626727,2.4569780762970668,5467,0,31.498832017047267,1.7408302386849237,5.52665012386104,0.09379869918950576,0.005183925924936864,1.984375,,
1.1,1135.016,,,,-1.037109375,0.15234375,-1.0703125,-0.003217742409818478,-0.16328761189840266,12.82688307325066,2.4498620165532228,5477,0,31.42409363192626,1.845663873072255,5.873403684098932,0.08847093681613727,0.005196255262315845,2.05078125,,
1.1500000000000001,1135.024,,,,-1.125,0.041015625,-0.896484375,-0.003217742409818478,-0.16328761189840266,12.825201292884854,2.4468462241749793,5498,0,31.38129535777937,1.8524662406694914,5.903090422334234,0.08814606620814294,0.005203341991997279,2.294921875,,
1.2,1135.032,,,,0.76171875,-0.072265625,-0.916015625,-0.003217742409818478,-0.18544841263485412,12.829569314280175,2.445707891035042,5514,0,31.377378910516054,1.8579820696270963,5.921406230028978,0.09981173428227662,0.005910258252090697,2.380859375,,
1.25,1135.04,,,,0.037109375,0.115234375,-1.03515625,-0.003494116778902012,-0.18544841263485412,12.834249725763705,2.440301036613804,5527,0,31.319432909941597,2.0221803039019095,6.456631286130399,0.09170715997827744,0.005921193182779117,2.53515625,,
1.3,1135.048,,,,0.861328125,0.06640625,-1.001953125,-0.003494116778902012,-0.18544841263485412,12.840753078316306,2.439885720500679,5529,0,31.32997007625909,2.0229543964659067,6.456930509483125,0.09167206782260232,0.005919201715911671,2.576171875,,
1.35,1135.056,,,,1.0625,-0.052734375,-1.0546875,-0.003494116778902012,-0.19458581346183015,12.843848074320166,2.4370660286705403,5536,0,31.301305819331212,2.0255215329888343,6.471044833336963,0.09606701794707743,0.006216539801405247,2.759765625,,
1.4000000000000001,1135.064,,,,-0.486328125,0.046875,-1.056640625,-0.0033958142369000304,-0.19458581346183015,12.846314587099062,2.435713986505321,5534,0,31.28994811484451,1.9679881901200476,6.289522062794341,0.0988754985617878,0.006218796296741546,2.83203125,,
1.45,1135.072,,,,1.125,0.025390625,-1.10546875,-0.0033958142369000304,-0.19458581346183015,12.847631286980965,2.4384347420224577,5543,0,31.328110482869086,1.9712987451032742,6.292427837871756,0.09870944926292033,0.006211220864029895,2.921875,,
1.5,1135.08,,,,-1.162109375,0.03125,-0.89453125,-0.0033958142369000304,-0.20131354579916794,12.842913439985242,2.4380878393979835,5540,0,31.312151080468944,1.9700066874276596,6.2915086298764615,0.10218927026183526,0.006429246757331147,3.046875,,
1.55,1135.088,,,,0.57421875,0.0078125,-0.912109375,-0.003371314201987255,-0.20131354579916794,12.84337307952725,2.439666453730539,5547,0,31.333546454868515,1.9582529668089836,6.249701002181692,0.10280262520281677,0.006424856697569529,3.08984375,,
1.6,1135.096,,,,-0.1875,0.017578125,-1.134765625,-0.003371314201987255,-0.20131354579916794,12.843653121475771,2.4395577598678893,5085,0,31.332833637547655,1.7952209446749836,5.7295199197166875,0.11213859018095114,0.006425002862107057,3.193359375,,
1.6500000000000001,1135.104,,,,-1.1484375,0.048828125,-0.875,-0.003371314201987255,-0.20496952996394766,12.824100029272934,2.446734241266614,5548,0,31.377164655050276,1.9585232808119566,6.241874631896431,0.10465514092789963,0.0065324426925540266,3.3046875,,
1.7,1135.112,,,,0.3359375,0.068359375,-1.072265625,-0.0033130074867802582,-0.20496952996394766,12.827243273976523,2.4453005519307913,5550,0,31.36646505760532,1.9256152502150456,6.139089140834339,0.10644365739264758,0.006534671012098935,3.337890625,,
1.75,1135.12,,,,0.19921875,0.037109375,-1.150390625,-0.0033130074867802582,-0.20730418976392842,12.834831580617482,2.437391269292877,5550,0,31.283506437441552,1.9254483963600069,6.1548356166863085,0.10766540934352214,0.00662662896112621,3.427734375,,
1.8,1135.128,,,,-0.55078125,0.138671875,-0.984375,-0.0033130074867802582,-0.20730418976392842,12.836694112387633,2.4383275939869327,5549,0,31.300065469804363,1.9251590901221636,6.150655154313952,0.10768158892820315,0.006623123199659689,3.416015625,,
1.85,1135.136,,,,0.173828125,0.12109375,-1.126953125,-0.003279311627588475,-0.20730418976392842,12.791424125056585,2.4628292634496916,5547,0,31.503093656385722,1.9048750231507379,6.046628448392455,0.10882823662679937,0.006580439115759907,3.505859375,,
1.9000000000000001,1135.144,,,,0.0625,0.14453125,-1.11328125,-0.003279311627588475,-0.20826396505176467,12.805504483954346,2.4508628344349175,5561,0,31.384535015913393,1.909654682981599,6.084699620412783,0.10905844229732473,0.006635878624493411,3.578125,,
