Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1125,,,,-0.01171875,0.013671875,-1.052734375,-0.0011535059232660719,0.00479640478285289,16.846419863171885,0.0693260963900714,0,0,1.1678965272618675,0,0,0,0,0.083984375,,
0.5,1125,,,,0.0625,-0.1640625,-0.970703125,-0.00018680088144681282,0.0049642460679690855,13.647937721001579,1.9723060522592135,3998,0,26.917910167988232,0.07820203946658254,0.2905204712347368,0.06347975195826469,0.00018442167452779263,0.30078125,,
1,1125,,,,-0.6484375,0.3203125,-0.921875,-0.0014473573626098812,-0.12346859817527386,13.15316056515859,2.260741899559986,5293,0,29.73590120129413,0.8022935234863537,2.6980635900533505,0.1538945467722873,0.004152172733540708,1.576171875,,
1.5,1125.06,,,,0.69921875,-0.0625,-0.87890625,-0.0031414940647603805,-0.18884005586686223,13.181448685178706,2.2418288114894196,5388,0,29.550551439602952,1.7724113973593691,5.997896184718994,0.10654414440586761,0.006390407172361029,2.95703125,,
2,1125.12,,,,-0.5859375,-0.03125,-1.01953125,-0.0034975005556375895,-0.19346134903479623,13.18546520855834,2.2344812386726196,5389,0,29.462674631694167,1.9738628429157117,6.699537185915733,0.09801154610571766,0.006566319977843498,3.587890625,,
2.5,1125.18,,,,0.673828125,0.037109375,-0.806640625,-0.0033986038957783686,-0.19343355190658013,13.183039093208976,2.229349410130778,5389,0,29.389600426176415,1.9181167295259913,6.526515167649519,0.10084555800437744,0.006581700639056488,3.826171875,,
3,1125.24,,,,-0.599609375,0.021484375,-1.0234375,-0.0033368500241158935,-0.19302805585821864,13.179746804217922,2.2322144864811646,5391,0,29.42002174452908,1.8839030083261634,6.403472521826033,0.1024617801474413,0.0065611119371152046,3.99609375,,
3.5,1125.3,,,,0.63671875,-0.009765625,-0.822265625,-0.003414637871378779,-0.19391349519992246,13.158681627095344,2.2408878567386896,5396,0,29.48712986884846,1.9293968154100662,6.543182819052079,0.1005047244046108,0.006576207859578137,4.015625,,
4,1125.36,,,,0.5625,0.171875,-0.91015625,-0.003454896744059048,-0.19385400835549746,13.176637161600842,2.227211584774461,5383,0,29.347158934687066,1.947451485612026,6.63591146913449,0.09954240698046192,0.006605546001469002,4.08203125,,
4.5,1125.42,,,,0.974609375,0.01953125,-1.033203125,-0.0035007006774825556,-0.1936135548347577,13.173996149107404,2.2325295838946824,5381,0,29.4113361409969,1.9725944331936747,6.706918800754671,0.09815172930468682,0.006582956786001873,4.076171875,,
5,1125.48,,,,-0.125,0.09375,-1.060546875,-0.0031884487661116012,-0.1941760529214795,13.138490202589074,2.245635485410772,5393,0,29.504259823655786,1.8008233344584619,6.103604514133943,0.10782626435694845,0.006581288738712704,4.080078125,,
5.5,1125.54,,,,-0.103515625,0.068359375,-1.05078125,-0.003454226453375863,-0.19438560297572802,13.144063906377898,2.248092261092097,5389,0,29.54906834722811,1.9493502415075334,6.596993917374708,0.09971815163672156,0.006578400397993008,4.087890625,,
6,1125.6,,,,0.78125,0.08984375,-1.033203125,-0.003839685153263771,-0.19451767715622933,13.128569944287985,2.250302384703952,5391,0,29.54325225338388,2.1676649499191036,7.337259050993004,0.08973604392297281,0.006584166004741381,4.0625,,
6.5,1125.66,,,,0.912109375,-0.00390625,-0.9921875,-0.0034486724086473246,-0.19501512632276702,13.12428436070634,2.2570939286430223,5394,0,29.622742548334852,1.9480127004706773,6.5760713995071285,0.10010978176664229,0.006583290726865166,4.060546875,,
7,1125.72,,,,0.599609375,0.134765625,-0.99609375,-0.0034904298441034006,-0.19502043543869468,13.0521928224159,2.290824325567959,5415,0,29.90028081959386,1.9792023019788845,6.619343523629717,0.09853486692275244,0.0065223613321683735,4.0859375,,
7.5,1125.78,,,,0.71875,0.1015625,-1.001953125,-0.003513597432587353,-0.19392819600136954,13.14827501965441,2.2352265490753207,5384,0,29.38937339847537,1.9808403927679072,6.739988518675485,0.0979019797402182,0.006598582194046707,4.0390625,,
8,1125.84,,,,0.611328125,0.158203125,-1.00390625,-0.003452498936389078,-0.19384452820233725,13.135800933645738,2.2427029832802243,5386,0,29.459699941662453,1.9474406976482566,6.610524552200717,0.09953809039547407,0.0065799899043845565,4.095703125,,
