Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1135,,,,0,0.00390625,-1.03125,0.00006688983750554968,-0.0007147417150013155,16.843680890016596,0.09319207319172637,0,0,1.5696975423205095,0,0,0,0,0.078125,,
0.05,1135,,,,0,0.00390625,-1.056640625,0.00006688983750554968,-0.0007353973897403807,16.843388574765157,0.09132016729129759,0,0,1.5381410623998846,0,0,0,0,0.078125,,
0.1,1135,,,,0,0.00390625,-1.056640625,0.0001074919974903733,-0.0007353973897403807,16.84352998195945,0.09179505943991058,0,0,1.5461528358718837,0,0,0,0,0.078125,,
0.15,1135,,,,0,0.001953125,-1.056640625,0.0001074919974903733,-0.0007353973897403807,16.843326307605885,0.09153551050165407,0,0,1.5417624721126446,0,0,0,0,0.078125,,
0.2,1135,,,,-0.0234375,0.015625,-1.009765625,0.0001074919974903733,-0.0007272534491100807,16.568302775455635,0.2684942120562772,0,0,4.448493398805792,0,0,0,0,0.08203125,,
0.25,1135,,,,-0.048828125,-0.052734375,-1.015625,0.00002783795146995241,-0.0007272534491100807,16.355626660315504,0.394150833744953,0,0,6.446583884584538,5.986545252607059e-7,0.000009286383858158503,1214.8132494168847,0.0001128122215006204,0.0859375,,
0.3,1135,,,,-0.0625,-0.123046875,-0.99609375,0.00002783795146995241,-0.0007272534491100807,16.21603979221794,0.4910538338421189,1005,0,7.962948509704978,0.0029292710153681245,0.03678626091576538,0.24827113820968388,0.00009132966868035481,0.091796875,,
0.35000000000000003,1135,,,,-0.07421875,0.263671875,-1.0078125,0.00002783795146995241,-0.000723928475398178,15.396744232669946,0.985551708669399,5249,0,15.174287586453579,0.015302931654015197,0.10084777665395285,0.04730652215964338,0.00004770757581030986,0.1171875,,
0.4,1135,,,,-0.162109375,0.07421875,-0.955078125,0.0012550002661211785,-0.000723928475398178,14.628480105537427,1.4357603622162853,2693,0,21.00299189500014,0.35393835658664924,1.685180655956478,0.0020453518583848367,0.0000344678738637476,0.1328125,,
0.45,1135,,,,0.048828125,-0.0390625,-1.044921875,0.0012550002661211785,-0.000723928475398178,14.240477213194968,1.6540930940356113,2929,0,23.555075014117286,0.38497966701753683,1.6343809849334237,0.001880433013531598,0.000030733439607570986,0.142578125,,
