Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1125,,,,0,0.001953125,-1.048828125,0.000053954150666349316,0.0020874258695280285,16.827509165738956,0.074980186196999,0,0,1.2617297704788144,0,0,0,0,0.09375,,
1,1125,,,,0.55078125,0.25390625,-0.904296875,-0.001354616102636064,-0.14615650679461759,13.123196123345842,2.247712764988666,5259,0,29.49717544389423,0.7460176015826316,2.5291153825952297,0.19591562784115993,0.004954932280638798,1.4765625,,
1.95,1125.15,,,,-0.88671875,-0.033203125,-0.875,-0.0032971345307908615,-0.19122255359608117,13.140493888019462,2.241034340958133,5358,0,29.448298060202067,1.850136069075505,6.282658730542644,0.10335594056691906,0.006493501023562007,3.541015625,,
2.9,1125.3,,,,-0.7109375,-0.1171875,-1.015625,-0.0032493864893317578,-0.19192892590314806,13.143185836910428,2.2329689322520303,5354,0,29.348325644635885,1.8217121574385176,6.2072098405091785,0.1053563402535648,0.006539689119819607,4.060546875,,
3.85,1125.45,,,,-0.611328125,0.044921875,-0.970703125,-0.0033922600135378287,-0.1930266384476567,13.133078070672575,2.238790050693273,5356,0,29.402204519599763,1.9026645146491226,6.4711627775420375,0.10145069557007713,0.00656503964928832,4.162109375,,
4.8,1125.6,,,,0.63671875,0.2265625,-0.84375,-0.003467607542932916,-0.19316947941351367,13.103789003604254,2.254894617918884,5370,0,29.547663298571884,1.9500038136043703,6.599519542036406,0.0990610777608998,0.006537555185382462,4.140625,,
5.75,1125.75,,,,-0.361328125,-0.11328125,-1.0703125,-0.0032861126843895354,-0.19377751516551087,13.092062901531923,2.265319073523299,5373,0,29.65769980260705,1.8490240658598764,6.234549807188144,0.1047998880833365,0.0065338012204330465,4.171875,,
6.7,1125.9,,,,-0.375,0.154296875,-1.099609375,-0.0034503126582371532,-0.19421301705162652,13.109895594035697,2.2460772540978446,5364,0,29.44583829736113,1.9382712398638184,6.582496379590327,0.10019909136415386,0.006595601561427832,4.134765625,,
7.65,1126.05,,,,-0.7109375,0.025390625,-1.033203125,-0.003541587120297783,-0.19315546004954579,13.087338409644307,2.2551868683096683,5368,0,29.51439372255458,1.9909235559050886,6.7456020768051435,0.09701801933913826,0.0065444495274161255,4.12109375,,
8.6,1126.2,,,,-0.861328125,-0.0625,-0.900390625,-0.0036158102388563497,-0.19341978736648582,13.082836929116349,2.2610364550950077,5362,0,29.580771232795286,2.0301692828261433,6.8631384450698745,0.0952727385852432,0.0065386999495147475,4.17578125,,
9.55,1126.35,,,,-0.25,0.134765625,-0.94140625,-0.0036315792815910714,-0.19291577910506533,13.112743673579498,2.2377314192635565,5361,0,29.34279851111827,2.0388858021737413,6.948504933505874,0.09461823653850047,0.006574552833873963,4.162109375,,
10.5,1126.5,,,,-0.234375,0.025390625,-0.935546875,-0.003433892654055054,-0.19359291177869764,13.100604980409411,2.242297331673642,5360,0,29.37545159088245,1.927409027016011,6.56129156364779,0.10044204891912104,0.006590295682085276,4.166015625,,
11.450000000000001,1126.65,,,,-0.0625,-0.033203125,-1.107421875,-0.003562182920531254,-0.19350522970334508,13.050980262048485,2.276761337383972,5380,0,29.71396727559333,2.006734231910689,6.753504886434316,0.09642793082724327,0.006512265020305376,4.13671875,,
12.4,1126.8,,,,0.8359375,0.142578125,-1.009765625,-0.0036176377461825866,-0.193984951345586,13.049243501100955,2.2725631612535384,5377,0,29.65523006282918,2.037193145144082,6.869591437422586,0.09522167881232796,0.006541340294261719,4.12109375,,
13.35,1126.95,,,,0.849609375,0.140625,-0.982421875,-0.0036166741631736177,-0.19356256479350825,13.030661875771642,2.2843355051565846,5383,0,29.76640357851546,2.0389008165792406,6.849671345754584,0.0949347625051508,0.006502719224475481,4.12109375,,
14.3,1127.1,,,,-0.36328125,-0.119140625,-0.986328125,-0.0037494160814790503,-0.19385629817226807,13.040795361166834,2.2739380740468995,5372,0,29.653961087611453,2.1091482852411434,7.1125347437050594,0.09191212373676423,0.006537281734454541,4.099609375,,
15.25,1127.25,,,,0.15625,0.091796875,-1.05859375,-0.0036675453441503323,-0.19366307475664446,13.036229224256887,2.2671737508714296,5376,0,29.555396707578232,2.0646505962930166,6.9856974572891595,0.09379944243561474,0.006552545265176148,4.123046875,,
16.2,1127.4,,,,-0.8359375,-0.14453125,-0.962890625,-0.003500320526722084,-0.19379625304008907,13.032026438908424,2.2744920255359213,5374,0,29.641240211870503,1.9697251052134317,6.645218253805085,0.09838746154331524,0.006538061553931843,4.1171875,,
17.150000000000002,1127.55,,,,0.75,0.19921875,-1.01953125,-0.0037385576831672376,-0.19287317626778774,13.011688980771414,2.2828199819233137,5377,0,29.70334360387638,2.1050063975829816,7.086765805410107,0.0916259335312469,0.006493315326380198,4.142578125,,
18.1,1127.7,,,,0.88671875,-0.12890625,-1.095703125,-0.0036370552287357206,-0.19300836361013748,13.013516635442613,2.275106445676358,5375,0,29.607135578212002,2.0472651312166312,6.914769332576776,0.09427619347741156,0.006518981314496801,4.1328125,,
19.05,1127.85,,,,0.7734375,-0.0625,-0.87890625,-0.0035692328175830398,-0.19393542966910915,12.992394389929732,2.2848504712396593,5377,0,29.685678444362456,2.009857186951195,6.7704606809580365,0.09649214428180086,0.006532962688812626,4.12109375,,
20,1128,,,,0.82421875,0.05859375,-1.06640625,-0.0035335245756321562,-0.19270793084345575,13.016172551095716,2.2709971899193784,5361,0,29.559691287044117,1.9836810931080335,6.710763904281612,0.09714662881699436,0.006519280900877297,4.177734375,,
20.166666666666668,1128,,,,-0.875,0.072265625,-0.89453125,-0.0034923993194022024,-0.1921443021402116,13.01428914739377,2.2655646659548507,5357,0,29.484713644855006,1.9591724060523674,6.64470555709208,0.09807421824982344,0.006516743030120634,4.15234375,,
20.333333333333332,1128,,,,-0.390625,-0.203125,-1.294921875,-0.0034954634420394704,-0.1923400227550306,13.013104211313278,2.2627335875211703,5355,0,29.44518797685174,1.9602508401169476,6.657287573297184,0.098120107293797,0.006532137709775811,4.19140625,,
20.5,1128,,,,-0.974609375,0.16015625,-0.84765625,-0.0034967351903840396,-0.1923988164944211,13.017284845226497,2.2610470266361626,5361,0,29.43269319417535,1.9632532951519248,6.670314816927618,0.09799999672458588,0.0065369083021086325,4.181640625,,
20.666666666666668,1128,,,,0.4609375,-0.330078125,-0.958984375,-0.0036917409199834906,-0.19255533441374922,13.016596704077475,2.2631018123126405,5362,0,29.457883591140476,2.0728279661296725,7.0365814289288595,0.09289499059262658,0.006536631656445973,4.140625,,
20.833333333333332,1128,,,,0.861328125,0.015625,-1.05859375,-0.0037616056706622036,-0.1926382043473721,13.001914693201744,2.2683281753162294,5368,0,29.492609431647587,2.114378665231113,7.169181384683582,0.09110865878242093,0.006531745005264205,4.1875,,
21,1128,,,,-0.474609375,0.13671875,-1.12109375,-0.003807332862360724,-0.1928333312619311,13.010020385866808,2.271506592160916,5359,0,29.552347070644355,2.1367199763363702,7.230288583267446,0.09024735735028977,0.006525144375198575,4.150390625,,
21.05,1127.85,,,,0.38671875,-0.234375,-0.955078125,-0.003807332862360724,-0.19292174140829474,12.996772056694699,2.276640725959287,5362,0,29.588980570280793,2.1379056309386586,7.225343995412851,0.09023866096633622,0.006520053671672135,4.1484375,,
21.1,1127.7,,,,-0.07421875,0.095703125,-0.94140625,-0.003807332862360724,-0.19292174140829474,13.000675041194915,2.272240089918374,5359,0,29.540655024604295,2.1368365578206205,7.233544943539193,0.09028380795069203,0.006530719824851919,4.16015625,,
21.150000000000002,1127.55,,,,-0.048828125,0.04296875,-1.0625,-0.0038092315127204253,-0.19292174140829474,13.001713727417629,2.270736872480124,5360,0,29.5234707662782,2.138262904566,7.242586488199519,0.09022358335653388,0.006534521057349752,4.154296875,,
21.2,1127.4,,,,-0.01171875,-0.00390625,-0.93359375,-0.0038092315127204253,-0.1926607426917699,13.00687768475236,2.2689615588721566,5361,0,29.512105467655182,2.1386860451740155,7.246809440681834,0.09008369560670787,0.006528193757741992,4.150390625,,
21.25,1127.25,,,,-0.166015625,-0.041015625,-1.123046875,-0.0038092315127204253,-0.1926607426917699,13.007003842477681,2.268083085654345,5366,0,29.5009654101647,2.1404122410808344,7.2553972770780755,0.09001104506601161,0.006530658912788925,4.16796875,,
21.3,1127.1,,,,0.14453125,0.126953125,-0.927734375,-0.0037405599381266225,-0.1926607426917699,13.00942322748158,2.2663977139501528,5362,0,29.484527062574273,2.1002779907007674,7.123322637135743,0.09173106776569503,0.006534299915440083,4.16015625,,
21.35,1126.95,,,,0.25,-0.15625,-0.876953125,-0.0037405599381266225,-0.19236001994926025,13.010503324895893,2.261001250116215,5359,0,29.416764282230787,2.0990642024261885,7.135605338123913,0.0916408463004239,0.0065391291205149785,4.16015625,,
21.400000000000002,1126.8,,,,0.09375,0.0859375,-0.91015625,-0.0037405599381266225,-0.19236001994926025,13.007700852009263,2.261474306542693,5362,0,29.416581264012446,2.1004679062389737,7.140421544527463,0.09157960441951886,0.0065391698043643495,4.15234375,,
21.45,1126.65,,,,-0.0625,-0.033203125,-1.09375,-0.0036848249948982473,-0.19236001994926025,13.010831185643568,2.262105398094167,5363,0,29.431871458736246,2.0696219608048816,7.031907446682453,0.09294452010668215,0.006535772630665052,4.134765625,,
21.5,1126.5,,,,-0.90625,-0.025390625,-0.931640625,-0.0036848249948982473,-0.19239463099941606,13.008122877365698,2.26682129370883,5363,0,29.48708992959354,2.0695739446701524,7.0185764333194065,0.09296340026646394,0.006524707302714428,4.140625,,
21.55,1126.35,,,,-0.84375,-0.037109375,-0.94921875,-0.0036721614125634823,-0.19239463099941606,13.011353219483683,2.2661591476083522,5358,0,29.485797121096333,2.0602222587888215,6.987168263851294,0.09338537634891995,0.006524993379329828,4.140625,,
21.6,1126.2,,,,0.0625,-0.0078125,-0.955078125,-0.0036721614125634823,-0.19239463099941606,13.02193038607444,2.257327822331105,5359,0,29.39476576094466,2.0607810674596787,7.010707566847612,0.09336005364052602,0.006545200344989348,4.130859375,,
21.650000000000002,1126.05,,,,-0.1875,-0.306640625,-1.044921875,-0.0036721614125634823,-0.19225201090098196,13.037372415251864,2.2458000152639435,5353,0,29.279331169174352,2.058606425081421,7.0309202528804615,0.0933893961267405,0.0065661339663177585,4.14453125,,
