Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1128,,,,0,0,-1.029296875,-0.0011336000183924135,0.004570036385586207,16.83795928362106,0.06811001524907037,0,0,1.1468336635706564,0,0,0,0,0.083984375,,
0.1,1128,,,,-0.0234375,0.0234375,-1.03515625,-0.0011613101742989713,0.0045215885300753985,16.837858046164826,0.06778115279836942,0,0,1.141289429024352,0,0,0,0,0.083984375,,
0.2,1128,,,,-0.01171875,0.009765625,-0.99609375,-0.0011731682305141306,0.0045215885300753985,16.636452492473595,0.18946635565123016,0,0,3.1520480247137965,0,0,0,0,0.087890625,,
0.3,1128,,,,0.037109375,-0.015625,-0.94140625,-0.0011731682305141306,0.004525330747106515,16.10464282341665,0.5070236333738365,2539,0,8.16543451851659,0.31197486602671476,3.8206768460301244,0.014505433738110831,0.0005542057482482424,0.099609375,,
0.4,1128,,,,-0.0625,0.126953125,-1.029296875,-0.0010440233251829542,0.004525330747106515,14.848888712868568,1.2128409872437438,2465,0,18.009340845988,0.26946239690920104,1.4962368651556177,0.016793923007488817,0.0002512768671438987,0.12890625,,
0.5,1128,,,,-0.423828125,0.529296875,-1.16796875,0.005360523928130625,0.004502102716707002,13.527497759553347,1.9522651081239164,3830,0,26.40926187620045,2.150104778259358,8.141480016891322,0.0020938992193448966,0.00017047438651680816,0.2734375,,
0.6,1128,,,,-0.173828125,-0.16796875,-0.91796875,0.005360523928130625,-0.02146645625453094,13.098819206642492,2.1993916096502018,4491,0,28.80943305941441,2.5212392521837534,8.751436541580459,0.008514247997661437,0.0007451190105081253,0.486328125,,
0.7000000000000001,1128,,,,0.162109375,-0.05859375,-0.966796875,0.0034090079235739425,-0.0703568654672783,12.936925293059653,2.291587051635299,4884,0,29.646090489548698,1.7437053031858698,5.8817377751733835,0.04034905745754828,0.002373225754407031,0.69921875,,
0.8,1128,,,,0.13671875,-0.001953125,-0.9140625,-0.00047565762789627815,-0.0703568654672783,12.891634846435359,2.318887749267528,5092,0,29.894254113429326,0.25363941614503716,0.8484554094664476,0.27738932117335635,0.0023535247007776005,0.89453125,,
0.9,1128,,,,0.69921875,-0.16015625,-0.994140625,-0.00047565762789627815,-0.1191616845348725,12.903800240959406,2.307254683436206,5213,0,29.772353540078836,0.25967773525211585,0.8722109755365623,0.4588829474316727,0.004002427432364722,1.185546875,,
