Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
0,1820,,,,0.11207054386557694,8.182305060039296,-0.0041392470033526545,0,0,0.033868581700284915,0,,
0.05,1820,,,,0.11152832640393065,8.181789481956564,-0.001762803335785248,0,0,0.014422885791485686,0,,
0.1,1820,,,,0.11152832640393065,8.17989458434166,0.004593395179612066,0,0,0.03757348835344983,0,,
0.15,1820,,,,0.11152832640393065,8.17622817516783,0.019946045710490756,0,0,0.16308342092129996,0,,
0.2,1820,,,,0.11189173927761362,8.172162517854035,0.039267672129458316,0,0,0.3209017983397408,0,,
0.25,1820,,,,0.11189173927761362,8.164987241278315,0.06982904597527216,0,0,0.570153269458734,0,,
0.3,1820,,,,0.1112145655583908,8.160854825814368,0.0876140341388366,0,0,0.7150054133109895,0,,
0.35000000000000003,1820,,,,0.1112145655583908,8.154702604667106,0.11141102958521569,0,0,0.9085238131472024,0,,
0.4,1820,,,,0.1112145655583908,8.14554867588778,0.15172455545892888,0,0,1.2358797518181401,0,,
0.45,1820,,,,0.1105929245927185,8.127640415127795,0.23317449073436675,0,0,1.8951584146694807,0,,
0.5,1820,,,,0.1105929245927185,8.110804468619172,0.31398521383645933,0,0,2.5466726754651003,0,,
0.55,1820,,,,0.1105929245927185,8.090530631621741,0.4039665885167674,0,0,3.2683040585466423,0,,
0.6,1820,,,,0.1105929245927185,8.06471739802447,0.5220809608820671,0,0,4.210435408402939,0,,
0.65,1820,,,,0.11034336313927269,8.035087140084851,0.6580213027730969,0,0,5.287258507813991,0,,
0.7000000000000001,1820,,,,0.11034336313927269,8.028229617371075,0.678605549031834,0,0,5.448001167249729,0,,
0.75,1820,,,,0.11034336313927269,8.026374010944501,0.691258182094016,0,0,5.548296707612152,0,,
0.8,1820,,,,0.11053699292470502,8.02216741157807,0.700844727420966,0,0,5.62229373289279,0,,
0.85,1820,,,,0.11053699292470502,8.018809302365558,0.7227304979080987,0,0,5.7954380397287535,0,,
0.9,1820,,,,0.11060818401763237,8.010045475971257,0.7659659431156254,0,0,6.135422037401372,0,,
0.9500000000000001,1820,,,,0.11060818401763237,7.969570853076315,0.9531920923836128,2,0,7.596531916843267,0.014560352701525345,,
1,1820,,,,0.11060818401763237,7.694012969307492,2.270219627358841,1422,0,17.467099256075343,0.006332372788181244,,
1.05,1820,,,,0.11060818401763237,7.293033148256639,4.014586220369107,2260,0,29.278510381686235,0.0037777941082281974,,
1.1,1820,,,,0.1106431100375767,6.933845481196725,5.317427781960991,2926,0,36.87022259754014,0.0030008799036911277,,
1.1500000000000001,1820,,,,0.1106431100375767,6.649798251436373,6.398897057360407,3418,0,42.551374463156584,0.0026002241157539537,,
1.2,1820,,,,0.11251800166127006,6.403833406548814,7.368953981940123,3948,0,47.18955368086907,0.0023843836799602013,,
1.25,1820,,,,0.11251800166127006,6.30818143949619,7.81590587730822,4216,0,49.304152388084894,0.0022821201909245634,,
1.3,1820,,,,0.11251800166127006,6.244490416985353,7.942885037621153,4427,0,49.59926950064163,0.002268541508656987,,
1.35,1820,,,,0.11251800166127006,6.194591309905672,8.247679281402473,4633,0,51.09100240346481,0.00220230561876076,,
1.4000000000000001,1820,,,,0.11337548001640041,6.1704847538632785,8.550404809924915,4864,0,52.76014251900093,0.002148885021976004,,
1.45,1820,,,,0.11337548001640041,6.175909669957175,8.701312416480588,4988,0,53.7385194942609,0.0021097618818566176,,
1.5,1820,,,,0.11201768314102437,6.18819665207149,8.742845136419923,5095,0,54.10244500277328,0.0020704735827610445,,
1.55,1820,,,,0.11201768314102437,6.200922526269407,8.780462874234228,5169,0,54.44697002791125,0.0020573722115959903,,
1.6,1820,,,,0.11201768314102437,6.215607569256807,8.811654310350518,5231,0,54.76978522908905,0.002045245981383365,,
1.6500000000000001,1820,,,,0.1113533490390054,6.237263093071138,8.782515937749308,5291,0,54.77886252283281,0.0020327795049156295,,
1.7,1820,,,,0.1113533490390054,6.247419923884415,8.790291214152692,5333,0,54.91664046804365,0.0020276795537739175,,
1.75,1820,,,,0.1113533490390054,6.252798996457491,8.802739554401471,5355,0,55.04176105183818,0.002023070245411173,,
1.8,1820,,,,0.1113533490390054,6.247354247871491,8.837465982336365,5380,0,55.21078064516889,0.0020168769167503006,,
1.85,1820,,,,0.1112928820033126,6.248254783800953,8.837681512316195,5407,0,55.220085787038904,0.002015442033765093,,
1.9000000000000001,1820,,,,0.1112928820033126,6.2425639415755985,8.87118578627638,5424,0,55.378944508426905,0.0020096605847440335,,
1.95,1820,,,,0.11162570090256238,6.243616139810037,8.882737023101877,5452,0,55.46040024312703,0.002012709977086681,,
2,1820,,,,0.11162570090256238,6.242071783613712,8.882142332236436,5457,0,55.442970030093946,0.0020133427347411754,,
2.05,1820,,,,0.11162570090256238,6.2396621327008654,8.89878283269555,5462,0,55.525398268298964,0.002010353899006478,,
2.1,1820,,,,0.11162570090256238,6.236234878899662,8.915394076915497,5480,0,55.59849150159588,0.002007710962793987,,
2.15,1820,,,,0.11223385141178169,6.235714678407413,8.94467171836763,5487,0,55.77642072776069,0.002012209638900715,,
2.2,1820,,,,0.11223385141178169,6.231582829026116,8.954250493109848,5490,0,55.79915361966196,0.0020113898532725023,,
2.25,1820,,,,0.11223385141178169,6.229819697907989,8.95995996769787,5502,0,55.81893509923122,0.0020106770437712533,,
2.3000000000000003,1820,,,,0.11246403225150056,6.228197890830586,8.962162232028005,5493,0,55.81811991079836,0.0020148301739869906,,
2.35,1820,,,,0.11246403225150056,6.227843167961627,8.951303577804293,5496,0,55.74731483137893,0.002017389224784636,,
2.4,1820,,,,0.11176889431736578,6.224849525629196,8.940370766636073,5505,0,55.652462725643694,0.002008336897297172,,
2.45,1820,,,,0.11176889431736578,6.228324069600478,8.958360751535537,5497,0,55.79557389295301,0.002003185674401356,,
2.5,1820,,,,0.11176889431736578,6.227067020434115,8.959429466129023,5507,0,55.79096775043767,0.002003351058854665,,
2.5500000000000003,1820,,,,0.11176889431736578,6.224998477264289,8.954039251078239,5509,0,55.73888070332671,0.002005223156745144,,
2.6,1820,,,,0.11143502671185782,6.224674847403891,8.940860472342123,5504,0,55.65394929633569,0.00200228426052048,,
2.65,1820,,,,0.11143502671185782,6.2288814726066555,8.944459884721862,5513,0,55.71398045841747,0.0020001268226568043,,
2.7,1820,,,,0.11131330001400122,6.2279632079624205,8.94341981359755,5509,0,55.699289552447674,0.0019984689375469713,,
2.75,1820,,,,0.11131330001400122,6.226437601688203,8.938698816271556,5503,0,55.65625041979904,0.0020000143591132552,,
2.8000000000000003,1820,,,,0.11131330001400122,6.227699027808671,8.932824228887878,5514,0,55.63094076583078,0.0020009242784973943,,
2.85,1820,,,,0.11131330001400122,6.2291462730353135,8.921242198008484,5507,0,55.57172258856991,0.0020030564976025473,,
2.9,1820,,,,0.11139116859779978,6.228837128695036,8.932983395109993,5510,0,55.64209864147737,0.0020019224888610746,,
2.95,1820,,,,0.11139116859779978,6.230623262621193,8.93031147313842,5510,0,55.64140640698918,0.0020019473947698024,,
3,1820,,,,0.11139116859779978,6.227909467281373,8.934698850338444,5498,0,55.6444955573308,0.0020018362549990756,,
3.0500000000000003,1820,,,,0.11141682601036637,6.227598634013377,8.948023111667128,5505,0,55.72469650733834,0.0019994155732314125,,
3.1,1820,,,,0.11141682601036637,6.226538724349362,8.93839399352093,5506,0,55.65525633414981,0.002001910212063861,,
3.15,1820,,,,0.11143109369411786,6.2272921150112275,8.94769144404571,5496,0,55.71988837705927,0.001999844165875891,,
3.2,1820,,,,0.11143109369411786,6.224016243988718,8.960622231520626,5507,0,55.77105832523081,0.001998009308776313,,
3.25,1820,,,,0.11143109369411786,6.224199937480563,8.9465472775382,5503,0,55.685099005520165,0.002001093572323028,,
3.3000000000000003,1820,,,,0.11143109369411786,6.221518281090552,8.93523301526444,5496,0,55.590715550271575,0.0020044910843672976,,
3.35,1820,,,,0.11168274124197705,6.221828709441273,8.931230115221904,5501,0,55.568583941514134,0.00200981801802837,,
3.4,1820,,,,0.11168274124197705,6.222458780867267,8.936186230791964,5504,0,55.605050479256626,0.0020084999524214104,,
3.45,1820,,,,0.11177275283918495,6.224863383699169,8.942855095231083,5499,0,55.668051228031516,0.0020078438237640705,,
3.5,1820,,,,0.11177275283918495,6.2261925527855855,8.944242198890455,5503,0,55.68857416904232,0.002007103871970208,,
3.5500000000000003,1820,,,,0.11177275283918495,6.222630317660891,8.933845698693554,5507,0,55.59201909799486,0.0020105899129541863,,
3.6,1820,,,,0.11177275283918495,6.22717962142146,8.936804586407597,5500,0,55.65108740110322,0.0020084558641880047,,
3.65,1820,,,,0.11185952656840259,6.227770454401041,8.939291059333083,5503,0,55.67185274260596,0.002009265383812095,,
3.7,1820,,,,0.11185952656840259,6.229736907471915,8.93807070597419,5505,0,55.681828958600974,0.002008905394461258,,
3.75,1820,,,,0.11188050786352885,6.225781066350851,8.927896976060488,5498,0,55.5831319558884,0.002012850012703834,,
3.8000000000000003,1820,,,,0.11188050786352885,6.228159732234302,8.924755217215461,5503,0,55.58480106390934,0.002012789570567911,,
3.85,1820,,,,0.11188050786352885,6.226670051099232,8.930193474129076,5509,0,55.605368255881324,0.0020120450843645905,,
3.9,1820,,,,0.11188050786352885,6.225739475041773,8.933714101118229,5500,0,55.618976538069084,0.0020115527977569107,,
3.95,1820,,,,0.11189004112329486,6.223168040344275,8.942892940361578,5508,0,55.65312553467861,0.0020104897981618997,,
4,1820,,,,0.11189004112329486,6.224951797637025,8.940294007145525,5511,0,55.65289925118405,0.0020104979727702922,,
4.05,1820,,,,0.11183270711878364,6.227390975625635,8.947953928135359,5501,0,55.72240754238409,0.0020069611499417073,,
4.1,1820,,,,0.11183270711878364,6.226832941712255,8.958444912306273,5506,0,55.782739886463254,0.002004790502338197,,
4.15,1820,,,,0.11183270711878364,6.226759400465266,8.950017768737133,5511,0,55.729607275815106,0.0020067018697136146,,
4.2,1820,,,,0.11183270711878364,6.229307639402925,8.936386565088442,5500,0,55.66750109856309,0.0020089406729570315,,
4.25,1820,,,,0.11180643272027642,6.228803167536578,8.940070621276133,5500,0,55.68594020380548,0.002007803627110812,,
4.3,1820,,,,0.11180643272027642,6.230865036198974,8.953202064958143,5507,0,55.78619370857215,0.002004195398315841,,
4.3500000000000005,1820,,,,0.11228756864669401,6.232194025809126,8.954888867566588,5491,0,55.80860490223314,0.0020120117469949674,,
4.4,1820,,,,0.11228756864669401,6.232467567417515,8.94565121774155,5499,0,55.75348108400322,0.0020140010356933845,,
4.45,1820,,,,0.11228756864669401,6.231758581754279,8.94152668416067,5504,0,55.72143564800314,0.00201515928907546,,
4.5,1820,,,,0.11228756864669401,6.230742429655758,8.945463614403565,5495,0,55.73687969520605,0.0020146009116536875,,
4.55,1820,,,,0.11251612562745608,6.230591043762335,8.929019011468272,5496,0,55.63306588243783,0.0020224685417341887,,
4.6000000000000005,1820,,,,0.11251612562745608,6.230215269759364,8.930210717292006,5496,0,55.63713517304137,0.002022320618729037,,
4.65,1820,,,,0.11181248300634032,6.228577921503108,8.914270187512425,5490,0,55.523226476253264,0.002013796569516028,,
4.7,1820,,,,0.11181248300634032,6.234761156568086,8.924250619529392,5494,0,55.64057111412053,0.002009549520564939,,
4.75,1820,,,,0.11181248300634032,6.237508370104781,8.920453254011635,5495,0,55.641401837026,0.002009519518107034,,
4.8,1820,,,,0.11181248300634032,6.234042661773775,8.945029347365164,5484,0,55.76369456229286,0.0020051125357455667,,
4.8500000000000005,1820,,,,0.11107646158937565,6.2315959927508855,8.934593196306425,5498,0,55.67677515896244,0.001995023261894064,,
4.9,1820,,,,0.11107646158937565,6.232664294058691,8.918163979876068,5492,0,55.583922205933916,0.0019983559486472795,,
4.95,1820,,,,0.11078863332121096,6.228340988819696,8.928778103939118,5488,0,55.61147464483982,0.0019921901734985016,,
5,1820,,,,0.11078863332121096,6.229227018857328,8.935465161221465,5498,0,55.661041008339105,0.0019904161207587308,,
5.05,1820,,,,0.11078863332121096,6.2296872714987055,8.946044711058907,5497,0,55.731060866741984,0.001987915385033072,,
5.1000000000000005,1820,,,,0.11025007160035356,6.229516585305857,8.928611897597396,5497,0,55.62093589984218,0.0019821685812493922,,
5.15,1820,,,,0.11025007160035356,6.227670726521867,8.926621139776257,5501,0,55.592057158935866,0.001983198270305994,,
5.2,1820,,,,0.11025007160035356,6.229374139922889,8.926724062820815,5491,0,55.60790403116338,0.0019826331080302546,,
5.25,1820,,,,0.11025007160035356,6.229873688542759,8.929074517387415,5501,0,55.627006398909494,0.0019819522699052686,,
5.3,1820,,,,0.1104322616278357,6.230166775165222,8.922446691315297,5499,0,55.588330929415434,0.0019866086961319203,,
5.3500000000000005,1820,,,,0.1104322616278357,6.2281320265554685,8.9172998870542,5491,0,55.53812101696173,0.0019884047138380664,,
5.4,1820,,,,0.11045700593829008,6.22685765741667,8.939002331842806,5502,0,55.66189511970085,0.0019844276897283573,,
5.45,1820,,,,0.11045700593829008,6.22843582325382,8.936552285196502,5498,0,55.66074238949868,0.001984468787091306,,
5.5,1820,,,,0.11045700593829008,6.228052256926165,8.932510023649954,5489,0,55.63213921280868,0.0019854890985903087,,
5.55,1820,,,,0.11045700593829008,6.226277141940015,8.93282519109184,5499,0,55.61824530024107,0.0019859850907200647,,
5.6000000000000005,1820,,,,0.11052132666231393,6.226848153161689,8.934693934099553,5497,0,55.634982422612744,0.0019865437508863617,,
5.65,1820,,,,0.11052132666231393,6.228673231281688,8.93044240013679,5487,0,55.62480752123501,0.001986907129883046,,
5.7,1820,,,,0.11049593716693504,6.226719161584818,8.936871128974444,5491,0,55.64738670339931,0.001985644676467533,,
5.75,1820,,,,0.11049593716693504,6.228966623285742,8.925078457436003,5498,0,55.59401582157546,0.001987550917738393,,
5.8,1820,,,,0.11049593716693504,6.231587770219405,8.92361847695685,5479,0,55.60831176710822,0.0019870399524031645,,
5.8500000000000005,1820,,,,0.11049593716693504,6.231522168099827,8.90942480334109,5488,0,55.51927816703844,0.001990226472946761,,
5.9,1820,,,,0.11053644862492859,6.234139701582907,8.89198027888073,5490,0,55.43384728226261,0.00199402448222816,,
5.95,1820,,,,0.11053644862492859,6.22995461706052,8.902951443848425,5482,0,55.46498345306912,0.001992905104144805,,
6,1820,,,,0.11252830767506254,6.229194134717908,8.915146621042382,5490,0,55.534179041947375,0.002026289208130096,,
6.05,1820,,,,0.11252830767506254,6.228324998909588,8.909637905487509,5495,0,55.49212049798031,0.002027824971640039,,
6.1000000000000005,1820,,,,0.11252830767506254,6.231446794747023,8.890023289020455,5481,0,55.3977071295929,0.0020312809591888515,,
6.15,1820,,,,0.11252830767506254,6.228778500263858,8.897130964998027,5489,0,55.41825806881154,0.0020305276924319562,,
6.2,1820,,,,0.11348224112900392,6.230237883761191,8.921984917949828,5493,0,55.586088434157006,0.002041558316581787,,
6.25,1820,,,,0.11348224112900392,6.227551936579015,8.920989591272498,5485,0,55.555926005330285,0.0020426667196244003,,
6.3,1820,,,,0.11262301230391729,6.228210572528136,8.912972674329911,5493,0,55.51187064291592,0.0020288095320795956,,
6.3500000000000005,1820,,,,0.11262301230391729,6.227828580353956,8.910720702544983,5495,0,55.49444106286133,0.002029446736409933,,
6.4,1820,,,,0.11262301230391729,6.228389893279109,8.90994514917477,5484,0,55.49461231679137,0.002029440473626666,,
6.45,1820,,,,0.11262301230391729,6.232480415622508,8.874687110001428,5492,0,55.311313607861415,0.0020361659298561686,,
6.5,1820,,,,0.11084017038663078,6.227403373081911,8.89500803919412,5488,0,55.39280306686818,0.002000985042277578,,
6.55,1820,,,,0.11084017038663078,6.227786792652292,8.91052980722371,5487,0,55.4928798489624,0.001997376432585761,,
6.6000000000000005,1820,,,,0.11020731364244149,6.229638273321369,8.913624641041642,5499,0,55.52865721785346,0.001984692574323729,,
6.65,1820,,,,0.11020731364244149,6.23013026011308,8.903771037184377,5488,0,55.47165336788081,0.0019867320865949475,,
6.7,1820,,,,0.11020731364244149,6.228183618015068,8.909407734136433,5488,0,55.48942729596528,0.001986095712515217,,
6.75,1820,,,,0.10922015730041505,6.227192610082347,8.887216884472165,5495,0,55.34241130718413,0.0019735344868545136,,
6.8,1820,,,,0.10922015730041505,6.224500483381087,8.900715165141907,5483,0,55.402505847863175,0.001971393813852692,,
6.8500000000000005,1820,,,,0.10922015730041505,6.223452263826292,8.90956280021338,5495,0,55.448238778690474,0.0019697678358431446,,
6.9,1820,,,,0.10922015730041505,6.223967649117704,8.913458324579855,5488,0,55.477076253943906,0.0019687439330880476,,
6.95,1820,,,,0.11088081210161709,6.222620532785033,8.899104190573546,5485,0,55.37574845965628,0.0020023352313224036,,
7,1820,,,,0.11088081210161709,6.225980430246144,8.906555178827457,5491,0,55.452038244287195,0.0019995804592997136,,
7.05,1820,,,,0.11149167976839947,6.225416193270526,8.928149765637942,5482,0,55.581448126946896,0.002005915346317619,,
7.1000000000000005,1820,,,,0.11149167976839947,6.225982198125915,8.913064875949697,5489,0,55.49258324840418,0.002009127585020214,,
7.15,1820,,,,0.11149167976839947,6.224479285754484,8.916893752290672,5492,0,55.503020454406865,0.0020087497735368233,,
7.2,1820,,,,0.11149167976839947,6.22728368729394,8.91279328453748,5482,0,55.502492229023225,0.00200876889110393,,
