Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
0,1820,,,,0.1126913238447436,8.181535364814101,-0.001506743113778097,0,0,0.012327472071065618,0,,
0.05,1820,,,,0.1126913238447436,8.181959096210097,-0.003695202509005719,0,0,0.030233995780897714,0,,
0.1,1820,,,,0.1126913238447436,8.179914029525012,0.0012003205450518434,0,0,0,0,,
0.15,1820,,,,0.1129626768065218,8.176309561092937,0.020842821315625627,0,0,0.1704173592031015,0,,
0.2,1820,,,,0.1129626768065218,8.16962943019353,0.049864291442744735,0,0,0.4073727828863947,0,,
0.25,1820,,,,0.1129626768065218,8.16528570968771,0.0713763519602876,0,0,0.5828083066709767,0,,
0.3,1820,,,,0.11257513776188033,8.160621814597224,0.0920106514912743,0,0,0.7508641297349956,0,,
0.35000000000000003,1820,,,,0.11257513776188033,8.153844000730988,0.12390514931764472,0,0,1.0103032584233547,0,,
0.4,1820,,,,0.11257513776188033,8.14608112182868,0.15770497124062133,0,0,1.2846774890417603,0,,
0.45,1820,,,,0.11122591158695186,8.128161462894866,0.23861799628508074,0,0,1.9395256017575835,0,,
0.5,1820,,,,0.11122591158695186,8.112933323274659,0.3044144024208696,0,0,2.469693749485015,0,,
0.55,1820,,,,0.11122591158695186,8.09203296222677,0.405075118583666,0,0,3.2778812117569434,0,,
0.6,1820,,,,0.1106860288077263,8.066182995241729,0.5214562311032597,0,0,4.206161384087954,0,,
0.65,1820,,,,0.1106860288077263,8.04063325996869,0.6405741830296562,0,0,5.150622081545524,0,,
0.7000000000000001,1820,,,,0.1106860288077263,8.037786214201734,0.6531047208864179,0,0,5.249516121970921,0,,
0.75,1820,,,,0.11048480888729315,8.034890485206912,0.6695661314862191,0,0,5.379890539095422,0,,
0.8,1820,,,,0.11048480888729315,8.033079860647952,0.6948264599063158,0,0,5.5815964417187365,0,,
0.85,1820,,,,0.11048480888729315,8.025035269408,0.7254731610207897,0,0,5.821947704200747,0,,
0.9,1820,,,,0.11129124789268921,8.016592564814486,0.7549333578139729,0,0,6.051993143181929,0,,
0.9500000000000001,1820,,,,0.11129124789268921,7.95445696243887,1.050777870183697,235,0,8.358367345459396,0.013314950551096218,,
1,1820,,,,0.11129124789268921,7.626388984528263,2.534940868254866,1514,0,19.33244511408942,0.0057567083333696124,,
