Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1135,,,,0,0.00390625,-1.056640625,-0.0005881539218785018,0.0016650855561540626,16.844499266167624,0.09083199159268833,0,0,1.5300194157275824,0,0,0,0,0.078125,,
0.05,1135,,,,0,0.00390625,-1.0546875,-0.0005881539218785018,0.0016650855561540626,16.844280461013675,0.09197583477539871,0,0,1.5492667565926705,0,0,0,0,0.080078125,,
0.1,1135,,,,0,0.001953125,-1.044921875,-0.0006153560109547478,0.0016650855561540626,16.844355368024495,0.09245695450580096,0,0,1.5573777979409849,0,0,0,0,0.080078125,,
0.15,1135,,,,0,0.00390625,-1.04296875,-0.0006153560109547478,0.001461115968976613,16.84480040196363,0.0916701291085146,0,0,1.5441650276551648,0,0,0,0,0.078125,,
0.2,1135,,,,-0.015625,0.0078125,-0.982421875,-0.0006153560109547478,0.001461115968976613,16.565116177547804,0.27269179120179965,0,0,4.517171201921419,0,0,0,0,0.08203125,,
0.25,1135,,,,-0.03125,0.04296875,-1.033203125,-0.000593252991892251,0.001461115968976613,16.42054768346675,0.35749826295844045,0,0,5.870317273665607,0.0000016211428012106348,0.00002761593156954434,0,0.0002488989778339949,0.083984375,,
0.3,1135,,,,-0.0234375,0.009765625,-1.03125,-0.000593252991892251,0.00173678248699543,15.83812141488548,0.7171574953758445,3445,0,11.358427485357797,0.214022829346965,1.884264609893076,0.00811494031872567,0.00015290694853969217,0.1015625,,
0.35000000000000003,1135,,,,-0.09375,0.140625,-0.947265625,-0.0036592655183791635,0.00173678248699543,15.166521939437978,1.1197883027517639,4840,0,16.983293861210644,1.8548201184382562,10.921439230787923,0.000936361682586119,0.00010226417214402627,0.119140625,,
0.4,1135,,,,-0.01953125,0,-1.029296875,-0.0036592655183791635,0.00173678248699543,14.770672755466762,1.3525879628958408,2729,0,19.978634172917882,1.045797276069556,5.234578435232528,0.0016607257704120437,0.0000869319930463381,0.12890625,,
0.45,1135,,,,-0.2734375,0.376953125,-1,-0.0036592655183791635,0.0014895556796146545,13.7869108950188,1.9131804392021607,3501,0,26.37684824137312,1.3416736328251697,5.086557804585242,0.00111022207127831,0.0000564720874148348,0.173828125,,
