Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1128,,,,0,0,-1.0390625,0.00005906668185397745,0.0023705920383178254,16.845118636705713,0.06899495552975132,0,0,1.1622282112328959,0,0,0,0,0.083984375,,
0.05,1128,,,,0,0,-1.037109375,0.00005906668185397745,0.00241538804450736,16.8451130180404,0.06830078656529842,0,0,1.1505344689135073,0,0,0,0,0.083984375,,
0.1,1128,,,,0,0,-1.048828125,0.000018796204051922746,0.00241538804450736,16.845305930847722,0.06890866314308,0,0,1.1607875119309135,0,0,0,0,0.08203125,,
0.15,1128,,,,0,0,-1.052734375,0.000018796204051922746,0.00241538804450736,16.84518100320641,0.07000283132797384,0,0,1.1792103644566476,0,0,0,0,0.08203125,,
0.2,1128,,,,-0.0234375,0.01953125,-1.00390625,0.000018796204051922746,0.0026087214222969978,16.61199846950077,0.22008372871220538,0,0,3.6560305645291784,0,0,0,0,0.083984375,,
0.25,1128,,,,-0.048828125,-0.037109375,-0.994140625,-0.000017754045885908242,0.0026087214222969978,16.386212913593187,0.3704776233343292,0,0,6.070725215678298,3.098937855868253e-7,0.000005104724305203132,0,0.00042972154555104806,0.091796875,,
0.3,1128,,,,-0.09375,0.029296875,-1.03515625,-0.000017754045885908242,0.0026087214222969978,16.082003283252405,0.5653628985032595,1243,0,9.092167989958515,0.0023110316833878436,0.025417828684425662,0,0.00028691962414003974,0.099609375,,
0.35000000000000003,1128,,,,0.0625,-0.03515625,-0.970703125,-0.000017754045885908242,0.0026916257763869213,15.843395113869542,0.7143220405144509,2877,0,11.317286326415973,0.005348761069043823,0.0472618692747849,0,0.0002378331429244065,0.107421875,,
0.4,1128,,,,-0.125,0.140625,-0.951171875,-0.004905287247113282,0.0026916257763869213,14.845021517869727,1.3025093536227346,3581,0,19.335779381756083,1.839474838300439,9.5133214026844,0.0014632577300561595,0.00013920441080986654,0.1328125,,
0.45,1128,,,,-0.046875,-0.03515625,-1,-0.004905287247113282,0.0026916257763869213,14.153865028952723,1.6955188676665065,3096,0,23.998145206994487,1.5901887313207868,6.626298481006404,0.001692645485011894,0.0001121597420621666,0.166015625,,
0.5,1128,,,,0.1875,-0.134765625,-0.962890625,-0.004905287247113282,0.0017119006387246523,13.928448657526786,1.8253521827775923,3398,0,25.424324159722143,1.7456440220601168,6.866039038416644,0.0009806699516573588,0.0000673331817188159,0.19140625,,
0.55,1128,,,,0.15625,0.1015625,-0.88671875,-0.004905287247113282,0.0017119006387246523,13.555671390646962,2.0365629397231,3901,0,27.606977977256303,2.00379756550696,7.258301025044342,0.0008543281358321952,0.00006200970784035044,0.28125,,
0.6,1128,,,,-0.236328125,0.048828125,-0.76953125,-0.005968366219856891,0.0017119006387246523,13.33487312645521,2.159733009145798,4254,0,28.799765663976547,2.6589329343392776,9.232481143640472,0.0006438299426871573,0.00005944147805570306,0.376953125,,
0.65,1128,,,,0.236328125,-0.109375,-1.126953125,-0.005968366219856891,-0.05004502595845094,13.15592425917853,2.263521356338249,4664,0,29.77871552301906,2.9151271841223063,9.789297936201788,0.017167355932540082,0.0016805636200045615,0.548828125,,
0.7000000000000001,1128,,,,-0.478515625,0.0546875,-0.9765625,-0.005968366219856891,-0.05004502595845094,13.120250108447529,2.2824562026490143,4765,0,29.946396240332465,2.978194936798517,9.945086256447173,0.016803811375842324,0.0016711535356982018,0.611328125,,
0.75,1128,,,,-0.125,-0.0234375,-1.080078125,-0.006415835900661374,-0.05004502595845094,13.022988982668455,2.344187745433289,4985,0,30.528331182084127,3.3495510411900313,10.971942819972258,0.014940816050580587,0.0016392977939069394,0.771484375,,
0.8,1128,,,,-0.19921875,-0.015625,-1.09765625,-0.006415835900661374,-0.10260373216794685,13.002347419540694,2.3529799348122653,5056,0,30.59426258363729,3.397112467743619,11.103756655211864,0.030203219099218352,0.0033536919508176787,0.814453125,,
0.85,1128,,,,0.3125,0.06640625,-1.138671875,-0.006415835900661374,-0.10260373216794685,12.995676192760143,2.35552598625816,5150,0,30.61165298104303,3.459884266093286,11.302507147313797,0.029655249793601172,0.0033517867274755328,0.931640625,,
0.9,1128,,,,-0.5,-0.16796875,-1.259765625,-0.0044173466424155955,-0.10260373216794685,13.010477545807944,2.347223134368913,5214,0,30.538493884707684,2.4120017802191,7.898234239465631,0.04253882936961456,0.0033598163863387586,1.078125,,
0.9500000000000001,1128,,,,-0.38671875,0.44140625,-1.013671875,-0.0044173466424155955,-0.13990319051325759,13.028828826132537,2.3334719304670717,5257,0,30.402406352640522,2.431917532147311,7.999095545067251,0.05752793368356007,0.004601714380450896,1.240234375,,
1,1128,,,,-0.90625,0.009765625,-0.990234375,-0.0044173466424155955,-0.13990319051325759,13.051729668202606,2.3221085833562034,5298,0,30.307533490178084,2.450560814710427,8.085649119234967,0.05709027487644268,0.004616119307715909,1.40625,,
1.05,1128.004,,,,-0.537109375,0.078125,-1.076171875,-0.003785609435870089,-0.13990319051325759,13.059881574724038,2.31487129328635,5326,0,30.231944951048007,2.1115708464142484,6.98456830955909,0.06625550393008757,0.004627660930839574,1.611328125,,
1.1,1128.008,,,,0.63671875,0.015625,-0.94921875,-0.003785609435870089,-0.16502810533818468,13.059753830069205,2.315300734027744,5365,0,30.237257628980874,2.1268751829164,7.033955291229513,0.07759181482003843,0.0054577735640951,1.904296875,,
1.1500000000000001,1128.012,,,,-0.55078125,-0.025390625,-1.017578125,-0.003785609435870089,-0.16502810533818468,13.062290188435483,2.3113974686794934,5372,0,30.19214447670676,2.129472395464673,7.0530677180203645,0.07749717990693833,0.005465928578392432,1.966796875,,
1.2,1128.016,,,,-0.673828125,0.166015625,-1.017578125,-0.0034985485525920236,-0.16502810533818468,13.072838612321489,2.3065923608669783,5400,0,30.153709678027614,1.9782319647262177,6.560492841010918,0.08342201939954204,0.005472895610533693,2.248046875,,
1.25,1128.02,,,,0.515625,-0.126953125,-0.794921875,-0.0034985485525920236,-0.1798711379775833,13.085475567786375,2.2966167733083798,5403,0,30.052322675695184,1.9795896207364823,6.587143503345501,0.0908628415169526,0.005985265761939063,2.392578125,,
1.3,1128.024,,,,0.61328125,0.181640625,-0.953125,-0.0034985485525920236,-0.1798711379775833,13.089123426689213,2.295958120283664,5400,0,30.052079218902236,1.9784523431169434,6.583412511013652,0.09091507238137775,0.005985314249552739,2.412109375,,
1.35,1128.028,,,,0.13671875,-0.03125,-0.931640625,-0.003358580876491222,-0.1798711379775833,13.091144626070866,2.2982888011354787,5416,0,30.087231088143575,1.9049615434520693,6.3314618014243065,0.09442245099165124,0.005978321416504985,2.53515625,,
1.4000000000000001,1128.032,,,,0.923828125,-0.033203125,-0.9609375,-0.003358580876491222,-0.18878628223187216,13.095906833266366,2.296018995962579,5420,0,30.06845085853572,1.9063198870896672,6.339933826516068,0.09903179603297727,0.006278550335701123,2.705078125,,
1.45,1128.036,,,,-0.736328125,0.158203125,-1.041015625,-0.003313258605363355,-0.18878628223187216,13.101664389274799,2.2892371672774563,5424,0,29.992817073123366,1.8820289106036603,6.274932114630043,0.10030997992019103,0.006294383144191013,2.787109375,,
1.5,1128.04,,,,0.59375,-0.0546875,-0.947265625,-0.003313258605363355,-0.18878628223187216,13.106693810968636,2.2854310883731612,5419,0,29.954445501375826,1.8803629743201158,6.277408721298978,0.10039885107827745,0.006302446233671763,2.87109375,,
1.55,1128.044,,,,-0.7734375,-0.169921875,-0.98828125,-0.003313258605363355,-0.19249928386617016,13.10965813758713,2.2805681203178274,5420,0,29.897468416846394,1.8804278192705666,6.289588780737695,0.10236994044304355,0.006438648288953528,2.95703125,,
1.6,1128.048,,,,0.3359375,0.18359375,-1.03515625,-0.003324996610836416,-0.19249928386617016,13.08728701658633,2.2943562660588293,5434,0,30.026898972215207,1.8922079028020837,6.30170935917492,0.10173262862981748,0.006410894579699873,3.048828125,,
1.6500000000000001,1128.052,,,,-0.3125,-0.0703125,-0.904296875,-0.003324996610836416,-0.19249928386617016,13.092880220574504,2.2934589639569403,5432,0,30.027983505891118,1.8914356513888966,6.298909985140429,0.10177416489152902,0.006410663034645806,3.064453125,,
1.7,1128.056,,,,-0.578125,0,-1.017578125,-0.003324996610836416,-0.1940253512838295,13.100171406025298,2.2895903109941402,5436,0,29.994025523598005,1.892826659494509,6.310678965066942,0.10250560996200528,0.00646879996588583,3.11328125,,
1.75,1128.06,,,,-0.849609375,-0.013671875,-0.939453125,-0.003525887205507407,-0.1940253512838295,13.098410032113469,2.292780616960434,5435,0,30.031780634629854,2.0068331536683575,6.682364852366643,0.0966823529545364,0.006460667572275002,3.232421875,,
1.8,1128.064,,,,0.759765625,0.02734375,-1.103515625,-0.003525887205507407,-0.1940253512838295,13.08348841098003,2.3002207589803283,5436,0,30.094911642814814,2.0071591902004124,6.669430414093353,0.09666664818173007,0.006447114834116923,3.240234375,,
1.85,1128.068,,,,0.71875,0.01171875,-1.03515625,-0.003525887205507407,-0.1957330323124403,13.093456571097999,2.2937851062333494,5426,0,30.033575671897772,2.003344251145771,6.670348789073049,0.0977031442302015,0.006517140498045541,3.3125,,
1.9000000000000001,1128.072,,,,-0.640625,0.115234375,-1.138671875,-0.003525887205507407,-0.1957330323124403,13.09550073836623,2.2927900149536105,5437,0,30.025233333743724,2.0076729928841077,6.686619119884718,0.09749248657833538,0.0065189512479980165,3.375,,
1.95,1128.076,,,,-0.8984375,-0.005859375,-0.9921875,-0.0036088412369285894,-0.1957330323124403,13.104867865403568,2.2861566560266917,5436,0,29.95978089684267,2.0544100711380886,6.857226620621228,0.09527456814111576,0.0065331930492545,3.40234375,,
2,1128.08,,,,0.861328125,0.138671875,-1.048828125,-0.0036088412369285894,-0.19643783432552983,13.077489081772823,2.302070895574523,5444,0,30.10530700234281,2.0574222431301212,6.834084910577433,0.09547764683766286,0.006525023455507129,3.4296875,,
2.05,1128.084,,,,-0.875,0.0546875,-1.041015625,-0.0036088412369285894,-0.19643783432552983,13.088207957343567,2.297075112702106,5439,0,30.064596768683572,2.05549626750931,6.83693276621755,0.09556710826021488,0.0065338589383692304,3.447265625,,
2.1,1128.088,,,,0.57421875,-0.015625,-0.828125,-0.003455637757343413,-0.19643783432552983,13.056479011261848,2.317499094931405,5451,0,30.25837829159022,1.9724648503891724,6.518739475662462,0.0995900303555585,0.006492014622612021,3.462890625,,
2.15,1128.092,,,,-0.2109375,0.115234375,-1.0703125,-0.003455637757343413,-0.19666470877439537,13.068440317963722,2.3086033744151604,5443,0,30.16984541639418,1.9697608272092189,6.52890593247408,0.09984192296738499,0.0065185852317138,3.498046875,,
2.2,1128.096,,,,0.765625,0.017578125,-1.0703125,-0.003455637757343413,-0.19666470877439537,13.062583800977576,2.309211225879659,5449,0,30.1642651522112,1.9718305747842244,6.536975340967915,0.09973712310243298,0.006519791142996859,3.537109375,,
2.25,1128.1,,,,0.548828125,-0.06640625,-0.83203125,-0.003419727552496428,-0.19666470877439537,13.083490271266333,2.2976762750795876,5443,0,30.06162519152325,1.9491645813940235,6.483896226421075,0.10089692304676637,0.006542051786004261,3.54296875,,
2.3000000000000003,1128.104,,,,-0.298828125,0.20703125,-1.08203125,-0.003419727552496428,-0.19668371848935323,13.09607747069051,2.290261569196227,5439,0,29.993442938339005,1.9477937411631374,6.494065203409434,0.10097769303432626,0.006557557226547774,3.57421875,,
2.35,1128.108,,,,0.25,-0.173828125,-0.990234375,-0.003419727552496428,-0.19668371848935323,13.10069850921058,2.288416578148788,5438,0,29.97985565380661,1.9472885678107323,6.495323360783028,0.1010038890694448,0.006560529202027023,3.619140625,,
2.4,1128.112,,,,-0.94921875,-0.021484375,-0.9609375,-0.00333248303485139,-0.19668371848935323,13.105162112126928,2.2868552194330425,5433,0,29.96960837763362,1.8958974067887548,6.326066670272764,0.10374175194558308,0.00656277239298658,3.6171875,,
2.45,1128.116,,,,-0.6484375,-0.13671875,-1.01171875,-0.00333248303485139,-0.19638243982804737,13.108626291406342,2.278808123031778,5431,0,29.872044074644702,1.8954036333622353,6.3450751097781355,0.10360982556506276,0.0065741212532133405,3.6796875,,
2.5,1128.12,,,,-0.5234375,0.091796875,-1.041015625,-0.00333248303485139,-0.19638243982804737,13.112346177718283,2.2787860926957815,5428,0,29.880232112397113,1.894204908561415,6.33932461246016,0.10367539379738659,0.006572319756062724,3.638671875,,
