Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
0,1820,,,,0.11361703144903439,8.175004149910734,0.026451051667854407,0,0,0.21623745715421303,0,,
0.05,1820,,,,0.11361703144903439,8.176964066871754,0.012844093793952377,0,0,0.10502569342467909,0,,
0.1,1820,,,,0.11189429621037836,8.175242097566688,0.023367399167639698,0,0,0.19103414538593283,0,,
0.15,1820,,,,0.11189429621037836,8.172645712871166,0.037661872558322596,0,0,0.3077971413024754,0,,
0.2,1820,,,,0.11189429621037836,8.169027145384096,0.05374478421864816,0,0,0.4390426012049476,0,,
0.25,1820,,,,0.1111972459596556,8.163473347795675,0.08446855356029626,0,0,0.68955678571633,0,,
0.3,1820,,,,0.1111972459596556,8.158781064454022,0.10493177121482655,0,0,0.8561153480471485,0,,
0.35000000000000003,1820,,,,0.1111972459596556,8.153707706153858,0.12870415159759263,0,0,1.0494160326952855,0,,
0.4,1820,,,,0.11129424854153847,8.143552783129863,0.16984404096185662,0,0,1.38313391247295,0,,
0.45,1820,,,,0.11129424854153847,8.130910223779438,0.22594711001152276,0,0,1.8371556668261078,0,,
0.5,1820,,,,0.11129424854153847,8.103575936882393,0.34617010146058713,0,0,2.8052157042641506,0,,
0.55,1820,,,,0.11134181360674174,8.0782649629897,0.4658464881550929,0,0,3.7632313633950827,0,,
0.6,1820,,,,0.11134181360674174,8.054271891785568,0.5797652316143955,0,0,4.6695868088263754,0,,
0.65,1820,,,,0.11134181360674174,8.024115695990503,0.7184546609348311,0,0,5.764963321664713,0,,
0.7000000000000001,1820,,,,0.11135838022755062,7.997831455694897,0.8419458079957172,0,0,6.733740667178602,0,,
0.75,1820,,,,0.11135838022755062,7.987161987831831,0.8833550889082817,0,0,7.055500187886035,0,,
0.8,1820,,,,0.11135838022755062,7.986220349763757,0.8588680740841482,0,0,6.859109691013231,0,,
0.85,1820,,,,0.11124780660258222,7.9877776904698745,0.8556947434692089,0,0,6.83509938173569,0,,
0.9,1820,,,,0.11124780660258222,7.987898066680221,0.8594978564156621,0,0,6.865581265578461,0,,
0.9500000000000001,1820,,,,0.11124780660258222,7.984595483761076,0.8744682207189471,3,0,6.982275005845089,0.015932888135951832,,
1,1820,,,,0.11092023679171578,7.882726242992193,1.397821680714518,1247,0,11.018645645591786,0.010066594421800967,,
1.05,1820,,,,0.11092023679171578,7.52842565368635,3.030974031914794,1790,0,22.818462657524485,0.004860986406336159,,
1.1,1820,,,,0.11092023679171578,7.1751312838368335,4.515754055400616,2566,0,32.40112819301801,0.00342334489499713,,
1.1500000000000001,1820,,,,0.11079866570172843,6.856552399987805,5.674774692434259,3126,0,38.909390036800175,0.002847607366677709,,
1.2,1820,,,,0.11079866570172843,6.518035778270475,6.868921599642242,3748,0,44.771876744603,0.0024747380221242254,,
1.25,1820,,,,0.11079866570172843,6.381371359572549,7.394486955602622,4028,0,47.18696727721538,0.0023480777022775205,,
1.3,1820,,,,0.11055037066854231,6.293309515495933,7.810820795872388,4294,0,49.155912838497215,0.0022489740152269754,,
1.35,1820,,,,0.11055037066854231,6.246827738458957,8.004539215409883,4504,0,50.002977604404954,0.0022108757511033403,,
1.4000000000000001,1820,,,,0.11055037066854231,6.205722210771945,8.291699073640677,4690,0,51.45598110632911,0.002148445492470545,,
1.45,1820,,,,0.11061249985850341,6.206648556091646,8.570189351051104,4916,0,53.192153361133336,0.002079489038684533,,
