Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
0,1820,,,,0.11133458473028987,8.181511222167096,0.0005782031099586791,0,0,0,0,,
0.05,1820,,,,0.11130009409839595,8.181914618884779,-0.0028365192425820226,0,0,0.02320815825762983,0,,
0.1,1820,,,,0.11130009409839595,8.179478836109986,0.00774576486418264,0,0,0.06335631977606625,0,,
0.15,1820,,,,0.11130009409839595,8.176124457687862,0.02185908309879761,0,0,0.17872258394671053,0,,
0.2,1820,,,,0.11059079765778443,8.171721785064774,0.043482193250629665,0,0,0.3553243858485669,0,,
0.25,1820,,,,0.11059079765778443,8.164474072080964,0.07558938169136055,0,0,0.6171475469437447,0,,
0.3,1820,,,,0.11059079765778443,8.159342212589326,0.09875481147896734,0,0,0.8057743019966391,0,,
0.35000000000000003,1820,,,,0.11151222514658865,8.153446768761455,0.12067865364786648,0,0,0.9839469786436797,0,,
0.4,1820,,,,0.11151222514658865,8.143741169900927,0.1647560342425972,0,0,1.3417304990510457,0,,
0.45,1820,,,,0.11151222514658865,8.129309523004933,0.22541598059809365,0,0,1.832476277713578,0,,
0.5,1820,,,,0.11083545708710671,8.102222384258013,0.34973233093516376,0,0,2.833609120201615,0,,
0.55,1820,,,,0.11083545708710671,8.082161679844424,0.448492914557856,0,0,3.624792247721243,0,,
0.6,1820,,,,0.11083545708710671,8.055373509988431,0.5707600689306858,0,0,4.597685539823417,0,,
0.65,1820,,,,0.11109008441312014,8.025805444386009,0.7070757326518828,0,0,5.674852264710707,0,,
0.7000000000000001,1820,,,,0.11109008441312014,7.991897093949118,0.8689699572053541,0,0,6.944718475718559,0,,
0.75,1820,,,,0.11109008441312014,7.9663280325471515,0.9798463530869287,0,0,7.805777470185494,0,,
0.8,1820,,,,0.11118458445282901,7.970878540489046,0.9582635375617249,0,0,7.638202267683872,0,,
0.85,1820,,,,0.11118458445282901,7.977938684221982,0.9361347943026874,0,0,7.468425989113598,0,,
0.9,1820,,,,0.11118458445282901,7.980354001479942,0.9227451421090173,0,0,7.363832887175874,0,,
0.9500000000000001,1820,,,,0.11160397182947794,7.97762476139847,0.9267644152010278,79,0,7.393378746690693,0.015095124388079313,,
1,1820,,,,0.11160397182947794,7.930297099958166,1.1638725315895937,1188,0,9.229854961985923,0.01209162790630297,,
1.05,1820,,,,0.11160397182947794,7.629213669471024,2.570143720175645,1629,0,19.608175602469142,0.005691706056295431,,
1.1,1820,,,,0.111773881473096,7.246558224596142,4.230858004887323,2428,0,30.659158872414654,0.0036456930191148752,,
1.1500000000000001,1820,,,,0.111773881473096,6.949153443683849,5.455910980784875,3024,0,37.913962580553736,0.002948092836131705,,
1.2,1820,,,,0.111773881473096,6.719529263824602,6.356042937279246,3475,0,42.70961651917357,0.002617065911208018,,
1.25,1820,,,,0.11121921225692633,6.4741173866907875,7.316842868735158,3992,0,47.370099632162784,0.0023478779466491145,,
1.3,1820,,,,0.11121921225692633,6.3637405359197885,7.755776095167832,4270,0,49.35574672433722,0.00225341970567501,,
1.35,1820,,,,0.11121921225692633,6.288208171564488,7.895929477177359,4483,0,49.651248260483584,0.0022400083815303277,,
1.4000000000000001,1820,,,,0.11095294652595152,6.2366959117248415,8.194593251482996,4664,0,51.107186229771976,0.002170985231452969,,
1.45,1820,,,,0.11095294652595152,6.209351684340026,8.448995052676974,4821,0,52.462781661320314,0.0021148887461252316,,
1.5,1820,,,,0.11095294652595152,6.210150556170988,8.679892150180214,4954,0,53.903437063945844,0.0020583649683475216,,
1.55,1820,,,,0.11077191509395182,6.214350499326896,8.666048439161655,5121,0,53.853862445095295,0.0020568982439631922,,
1.6,1820,,,,0.11077191509395182,6.222038659748907,8.726736587172887,5185,0,54.29809241883494,0.002040070104848236,,
1.6500000000000001,1820,,,,0.11077191509395182,6.230863819108163,8.765483575358898,5251,0,54.61653446669062,0.0020281754632657826,,
1.7,1820,,,,0.11105854683581624,6.242791306778706,8.76985983519135,5302,0,54.74840474080029,0.0020285257143401623,,
1.75,1820,,,,0.11105854683581624,6.2473428653810785,8.778015482235123,5331,0,54.83927239514624,0.0020251644849621658,,
1.8,1820,,,,0.11105854683581624,6.248892425035469,8.786928130396367,5373,0,54.90856863336493,0.0020226086674627326,,
1.85,1820,,,,0.11081940015002603,6.2533340440322815,8.833576354084036,5401,0,55.23930374555226,0.0020061693872987845,,
1.9000000000000001,1820,,,,0.11081940015002603,6.253076424725067,8.863944554768583,5429,0,55.426922725493554,0.0019993785456729816,,
1.95,1820,,,,0.11081940015002603,6.247252356270486,8.871843829627368,5450,0,55.42464726910334,0.0019994606300688662,,
2,1820,,,,0.11107370202224018,6.243066145481015,8.917687021676226,5461,0,55.67370994102227,0.0019950835347582493,,
2.05,1820,,,,0.11107370202224018,6.242089901123587,8.94168501242477,5476,0,55.8148017150848,0.001990040251136838,,
2.1,1820,,,,0.11107370202224018,6.241790560772103,8.96333747719633,5491,0,55.94727525817889,0.001985328177461196,,
2.15,1820,,,,0.11177210128898359,6.246045013562482,8.95289713505734,5488,0,55.92019850736273,0.0019987786930739724,,
2.2,1820,,,,0.11177210128898359,6.2433369079475085,8.950501598043509,5500,0,55.88099697170819,0.0020001808726779215,,
2.25,1820,,,,0.11177210128898359,6.240339973403795,8.965721525754391,5514,0,55.94915042757199,0.0019977443881596777,,
2.3000000000000003,1820,,,,0.11245982887139308,6.240552070128795,8.971038055431537,5502,0,55.98423010802748,0.0020087769118980465,,
2.35,1820,,,,0.11245982887139308,6.2395433268353955,8.960978306422351,5506,0,55.91241239375432,0.002011357121910829,,
2.4,1820,,,,0.11245982887139308,6.238631461039082,8.970222948888415,5513,0,55.961915101470034,0.002009577918616279,,
2.45,1820,,,,0.11271329720546039,6.240313864929168,8.972109622540838,5503,0,55.988780075205995,0.0020131407945316927,,
2.5,1820,,,,0.11271329720546039,6.2425609200510745,8.959634914547875,5507,0,55.93106677548171,0.002015218083679929,,
2.5500000000000003,1820,,,,0.11271329720546039,6.238694983013652,8.953981539543168,5513,0,55.86115970874482,0.0020177400145850464,,
2.6,1820,,,,0.11145337716173709,6.238612418697542,8.937029016350856,5502,0,55.75466020766673,0.0019989966174416987,,
2.65,1820,,,,0.11145337716173709,6.240124197591474,8.940750821214468,5503,0,55.79139554409625,0.001997680396319301,,
2.7,1820,,,,0.11145337716173709,6.239336481419118,8.937997688280724,5504,0,55.76717504732966,0.001998548018025774,,
2.75,1820,,,,0.11097576901228501,6.238702698698569,8.95124842893162,5457,0,55.84417773029703,0.0019872397360428417,,
2.8000000000000003,1820,,,,0.11097576901228501,6.235792890378912,8.934159431263303,5509,0,55.71156786298341,0.001991969949314978,,
2.85,1820,,,,0.11097576901228501,6.2396553982111795,8.944307480806309,5500,0,55.809396455873724,0.0019884782144173364,,
2.9,1820,,,,0.11155144432127873,6.237584867107728,8.952803138968777,5511,0,55.84386937782621,0.001997559366213477,,
2.95,1820,,,,0.11155144432127873,6.236311780355367,8.94847907396242,5507,0,55.80550546521532,0.0019989326033577628,,
3,1820,,,,0.11155144432127873,6.236527260984071,8.95811478618373,5505,0,55.86752707105933,0.00199671347864375,,
3.0500000000000003,1820,,,,0.11183540413935082,6.236032890536384,8.959059117797995,5509,0,55.86898732684818,0.0020017438921003613,,
3.1,1820,,,,0.11183540413935082,6.233745142973488,8.942908477135168,5508,0,55.747812283397785,0.0020060949400279235,,
